,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size,number of memory types
11,0.7321653366088867,3,0,1,250,250,1000,1,1,15,7006.239,11926.0,4919.761,0.0,11926.0,9789.0,0.0,200800.0,9789.0,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,0.8090606060606061,1,0.7585628326324962,0.002,3,-0.009500459699662888,3
13,0.6381454467773438,3,2,1,250,250,1000,1,1,13,7006.239,10580.0,3573.761,0.0,10580.0,8283.0,0.0,166664.0,8283.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.8090606060606061,1,0.7585628326324962,0.002,3,0.013400941687794278,3
15,0.574129581451416,3,4,1,250,250,1000,1,1,12,7006.239,11070.0,4063.761,0.0,11070.0,7530.0,0.0,184736.0,7530.0,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.8090606060606061,1,0.7585628326324962,0.002,3,-0.027091633466135457,3
12,0.9142069816589355,3,1,1,250,250,1000,1,1,19,7006.239,14972.0,7965.761,0.0,14972.0,12801.0,0.0,233430.0,12801.0,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,0.8090606060606061,1,0.7585628326324962,0.002,3,0.03445043355987813,3
14,0.8141841888427734,3,3,1,250,250,1000,1,1,17,7006.239,13462.0,6455.761,0.0,13462.0,11295.0,0.0,215358.0,11295.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,0.8090606060606061,1,0.7585628326324962,0.002,3,-0.017795484727755644,3
16,0.7011587619781494,4,0,1,250,250,1000,1,1,15,7006.239,14448.34,7442.101,0.0,14448.34,9407.076,2510.0,149396.4920322895,11917.076,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,1.213090909090909,1,0.7585628326324962,0.002,3,-0.028969193524467737,3
17,0.6241414546966553,4,1,1,250,250,1000,1,1,13,7006.239,14879.612,7873.373,0.0,14879.612,8781.996,1505.498,168806.07401192188,10287.494,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,1.213090909090909,1,0.7585628326324962,0.002,3,0.009107012756318126,3
18,0.623140811920166,4,2,1,250,250,1000,1,1,13,7006.239,12148.112,5141.873,0.0,12148.112,8129.14,1004.0,124303.03801238537,9133.14,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,1.213090909090909,1,0.7585628326324962,0.002,3,-0.0073108807016643105,3
20,0.5701286792755127,4,4,1,250,250,1000,1,1,12,7006.239,12162.152,5155.913,0.0,12162.152,7470.0,753.0,137744.20601022243,8223.0,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,1.213090909090909,1,0.7585628326324962,0.002,3,-0.04106666666666667,3
22,0.6241412162780762,5,1,1,250,250,1000,1,1,13,7006.239,14879.612,7873.373,0.0,14879.612,8781.996,1505.498,168806.07401192188,10287.494,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,1.6171212121212122,1,0.7585628326324962,0.002,3,0.009107012756318126,3
19,0.8651959896087646,4,3,1,250,250,1000,1,1,18,7006.239,17154.332,10148.093,0.0,17154.332,11940.004,2510.0,164759.54003167152,14450.004,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,1.213090909090909,1,0.7585628326324962,0.002,3,-0.0156758708904483,3
21,0.7291653156280518,5,0,1,250,250,1000,1,1,15,7006.239,14448.34,7442.101,0.0,14448.34,9407.076,2510.0,149396.4920322895,11917.076,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,1.6171212121212122,1,0.7585628326324962,0.002,3,-0.028969193524467737,3
25,0.5751304626464844,5,4,1,250,250,1000,1,1,12,7006.239,12162.152,5155.913,0.0,12162.152,7470.0,753.0,137744.20601022243,8223.0,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,1.6171212121212122,1,0.7585628326324962,0.002,3,-0.04106666666666667,3
23,0.6181395053863525,5,2,1,250,250,1000,1,1,13,7006.239,12148.112,5141.873,0.0,12148.112,8129.14,1004.0,124303.03801238537,9133.14,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,1.6171212121212122,1,0.7585628326324962,0.002,3,-0.0073108807016643105,3
26,0.7121608257293701,6,0,1,250,250,1000,1,1,15,7006.239,16487.6,9481.361,0.0,16487.6,11643.5,2417.0,60510.39199411869,14060.5,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,2.0211515151515154,1,0.7585628326324962,0.002,3,-0.035111833144874066,3
24,0.8821995258331299,5,3,1,250,250,1000,1,1,18,7006.239,17154.332,10148.093,0.0,17154.332,11940.004,2510.0,164759.54003167152,14450.004,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,1.6171212121212122,1,0.7585628326324962,0.002,3,-0.0156758708904483,3
28,0.6261415481567383,6,2,1,250,250,1000,1,1,13,7006.239,14523.072,7516.833,0.0,14523.072,10110.784,2253.492,49835.232002317905,12364.276,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,2.0211515151515154,1,0.7585628326324962,0.002,3,-0.06286697564024077,3
30,0.5741300582885742,6,4,1,250,250,1000,1,1,12,7006.239,14397.688,7391.449,0.0,14397.688,9799.504,1602.5,55820.55200254917,11402.004,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,2.0211515151515154,1,0.7585628326324962,0.002,3,-0.042593750256029045,3
27,1.130255937576294,6,1,1,250,250,1000,1,1,24,7006.239,23801.618,16795.379,0.0,23801.618,16956.534,3812.312,71936.06445507587,20768.846,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,2.0211515151515154,1,0.7585628326324962,0.002,3,0.031644815390498016,3
33,0.6211402416229248,7,2,1,250,250,1000,1,1,13,7006.239,14523.072,7516.833,0.0,14523.072,10110.784,2253.492,49835.232002317905,12364.276,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,2.425181818181818,1,0.7585628326324962,0.002,3,-0.06286697564024077,3
31,0.7171621322631836,7,0,1,250,250,1000,1,1,15,7006.239,16487.6,9481.361,0.0,16487.6,11643.5,2417.0,60510.39199411869,14060.5,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,2.425181818181818,1,0.7585628326324962,0.002,3,-0.035111833144874066,3
29,0.970219612121582,6,3,1,250,250,1000,1,1,20,7006.239,23999.808,16993.569,0.0,23999.808,17815.912,4247.496,69840.81200683117,22063.408,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,2.0211515151515154,1,0.7585628326324962,0.002,3,-0.015060816931648234,3
35,0.5621273517608643,7,4,1,250,250,1000,1,1,12,7006.239,14397.688,7391.449,0.0,14397.688,9799.504,1602.5,55820.55200254917,11402.004,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,2.425181818181818,1,0.7585628326324962,0.002,3,-0.042593750256029045,3
34,0.9502148628234863,7,3,1,250,250,1000,1,1,20,7006.239,23999.808,16993.569,0.0,23999.808,17815.912,4247.496,69840.81200683117,22063.408,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,2.425181818181818,1,0.7585628326324962,0.002,3,-0.015060816931648234,3
36,0.709160327911377,8,0,1,250,250,1000,1,1,15,7006.239,16487.6,9481.361,0.0,16487.6,11643.5,2417.0,60510.39199411869,14060.5,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,2.8292121212121213,1,0.7585628326324962,0.002,3,-0.035111833144874066,3
32,1.1422584056854248,7,1,1,250,250,1000,1,1,24,7006.239,23801.618,16795.379,0.0,23801.618,16956.534,3812.312,71936.06445507587,20768.846,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,2.425181818181818,1,0.7585628326324962,0.002,3,0.031644815390498016,3
38,0.6151392459869385,8,2,1,250,250,1000,1,1,13,7006.239,14523.072,7516.833,0.0,14523.072,10110.784,2253.492,49835.232002317905,12364.276,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,2.8292121212121213,1,0.7585628326324962,0.002,3,-0.06286697564024077,3
40,0.5711278915405273,8,4,1,250,250,1000,1,1,12,7006.239,14397.688,7391.449,0.0,14397.688,9799.504,1602.5,55820.55200254917,11402.004,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,2.8292121212121213,1,0.7585628326324962,0.002,3,-0.042593750256029045,3
41,0.7151615619659424,9,0,1,250,250,1000,1,1,15,7006.239,16487.6,9481.361,0.0,16487.6,11643.5,2417.0,60510.39199411869,14060.5,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,3.2332424242424245,1,0.7585628326324962,0.002,3,-0.035111833144874066,3
39,0.9432127475738525,8,3,1,250,250,1000,1,1,20,7006.239,23999.808,16993.569,0.0,23999.808,17815.912,4247.496,69840.81200683117,22063.408,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,2.8292121212121213,1,0.7585628326324962,0.002,3,-0.015060816931648234,3
37,1.1362566947937012,8,1,1,250,250,1000,1,1,24,7006.239,23801.618,16795.379,0.0,23801.618,16956.534,3812.312,71936.06445507587,20768.846,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,2.8292121212121213,1,0.7585628326324962,0.002,3,0.031644815390498016,3
45,0.5731291770935059,9,4,1,250,250,1000,1,1,12,7006.239,14397.688,7391.449,0.0,14397.688,9799.504,1602.5,55820.55200254917,11402.004,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,3.2332424242424245,1,0.7585628326324962,0.002,3,-0.042593750256029045,3
43,0.6301422119140625,9,2,1,250,250,1000,1,1,13,7006.239,14523.072,7516.833,0.0,14523.072,10110.784,2253.492,49835.232002317905,12364.276,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,3.2332424242424245,1,0.7585628326324962,0.002,3,-0.06286697564024077,3
46,0.7201623916625977,10,0,1,250,250,1000,1,1,15,7006.239,16487.6,9481.361,0.0,16487.6,11643.5,2417.0,60510.39199411869,14060.5,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,3.6372727272727277,1,0.7585628326324962,0.002,3,-0.035111833144874066,3
42,1.157261848449707,9,1,1,250,250,1000,1,1,24,7006.239,23801.618,16795.379,0.0,23801.618,16956.534,3812.312,71936.06445507587,20768.846,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,3.2332424242424245,1,0.7585628326324962,0.002,3,0.031644815390498016,3
44,0.9892241954803467,9,3,1,250,250,1000,1,1,20,7006.239,23999.808,16993.569,0.0,23999.808,17815.912,4247.496,69840.81200683117,22063.408,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,3.2332424242424245,1,0.7585628326324962,0.002,3,-0.015060816931648234,3
50,0.6001360416412354,10,4,1,250,250,1000,1,1,12,7006.239,14397.688,7391.449,0.0,14397.688,9799.504,1602.5,55820.55200254917,11402.004,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,3.6372727272727277,1,0.7585628326324962,0.002,3,-0.042593750256029045,3
48,0.6501469612121582,10,2,1,250,250,1000,1,1,13,7006.239,14523.072,7516.833,0.0,14523.072,10110.784,2253.492,49835.232002317905,12364.276,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,3.6372727272727277,1,0.7585628326324962,0.002,3,-0.06286697564024077,3
47,1.178267478942871,10,1,1,250,250,1000,1,1,24,7006.239,23801.618,16795.379,0.0,23801.618,16956.534,3812.312,71936.06445507587,20768.846,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,3.6372727272727277,1,0.7585628326324962,0.002,3,0.031644815390498016,3
51,0.7411677837371826,11,0,1,250,250,1000,1,1,15,7006.239,18514.57,11508.331,0.0,18514.57,14975.851,4704.405,26488.229996979237,19680.256,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,4.041303030303031,1,0.7585628326324962,0.002,3,-0.032150435354970974,3
53,0.6431450843811035,11,2,1,250,250,1000,1,1,13,7006.239,16527.321,9521.082,0.0,16527.321,12764.333,2726.588,21333.12402831704,15490.921,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,4.041303030303031,1,0.7585628326324962,0.002,3,-0.03960402150742257,3
52,0.8441910743713379,11,1,1,250,250,1000,1,1,17,7006.239,21210.228,14203.989,0.0,21210.228,18480.96,4115.758,29506.38399863243,22596.718,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,4.041303030303031,1,0.7585628326324962,0.002,3,0.02486069670957119,3
49,0.9932246208190918,10,3,1,250,250,1000,1,1,20,7006.239,23999.808,16993.569,0.0,23999.808,17815.912,4247.496,69840.81200683117,22063.408,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,3.6372727272727277,1,0.7585628326324962,0.002,3,-0.015060816931648234,3
55,0.5851321220397949,11,4,1,250,250,1000,1,1,12,7006.239,14648.892,7642.653,0.0,14648.892,12010.384,1925.064,23771.076000094414,13935.448,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,4.041303030303031,1,0.7585628326324962,0.002,3,-0.01820255053225205,3
56,0.7301645278930664,12,0,1,250,250,1000,1,1,15,7006.239,18514.57,11508.331,0.0,18514.57,14975.851,4704.405,26488.229996979237,19680.256,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,4.445333333333334,1,0.7585628326324962,0.002,3,-0.032150435354970974,3
57,0.8591949939727783,12,1,1,250,250,1000,1,1,17,7006.239,21210.228,14203.989,0.0,21210.228,18480.96,4115.758,29506.38399863243,22596.718,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,4.445333333333334,1,0.7585628326324962,0.002,3,0.02486069670957119,3
58,0.7161619663238525,12,2,1,250,250,1000,1,1,13,7006.239,16527.321,9521.082,0.0,16527.321,12764.333,2726.588,21333.12402831704,15490.921,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,4.445333333333334,1,0.7585628326324962,0.002,3,-0.03960402150742257,3
60,0.5931339263916016,12,4,1,250,250,1000,1,1,12,7006.239,14648.892,7642.653,0.0,14648.892,12010.384,1925.064,23771.076000094414,13935.448,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,4.445333333333334,1,0.7585628326324962,0.002,3,-0.01820255053225205,3
54,1.3212990760803223,11,3,1,250,250,1000,1,1,27,7006.239,29013.849,22007.61,0.0,29013.849,24684.632,6097.846,30364.878984865667,30782.478,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,4.041303030303031,1,0.7585628326324962,0.002,3,-0.012029231177942372,3
61,0.7681732177734375,13,0,1,250,250,1000,1,1,15,7006.239,18514.57,11508.331,0.0,18514.57,14975.851,4704.405,26488.229996979237,19680.256,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,4.849363636363637,1,0.7585628326324962,0.002,3,-0.032150435354970974,3
63,0.6841542720794678,13,2,1,250,250,1000,1,1,13,7006.239,16527.321,9521.082,0.0,16527.321,12764.333,2726.588,21333.12402831704,15490.921,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,4.849363636363637,1,0.7585628326324962,0.002,3,-0.03960402150742257,3
62,0.8882012367248535,13,1,1,250,250,1000,1,1,17,7006.239,21210.228,14203.989,0.0,21210.228,18480.96,4115.758,29506.38399863243,22596.718,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,4.849363636363637,1,0.7585628326324962,0.002,3,0.02486069670957119,3
65,0.5681283473968506,13,4,1,250,250,1000,1,1,12,7006.239,14648.892,7642.653,0.0,14648.892,12010.384,1925.064,23771.076000094414,13935.448,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,4.849363636363637,1,0.7585628326324962,0.002,3,-0.01820255053225205,3
59,1.2982935905456543,12,3,1,250,250,1000,1,1,27,7006.239,29013.849,22007.61,0.0,29013.849,24684.632,6097.846,30364.878984865667,30782.478,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,4.445333333333334,1,0.7585628326324962,0.002,3,-0.012029231177942372,3
66,0.7071595191955566,14,0,1,250,250,1000,1,1,15,7006.239,18514.57,11508.331,0.0,18514.57,14975.851,4704.405,26488.229996979237,19680.256,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,5.25339393939394,1,0.7585628326324962,0.002,3,-0.032150435354970974,3
68,0.5981349945068359,14,2,1,250,250,1000,1,1,13,7006.239,16527.321,9521.082,0.0,16527.321,12764.333,2726.588,21333.12402831704,15490.921,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,5.25339393939394,1,0.7585628326324962,0.002,3,-0.03960402150742257,3
67,0.7821767330169678,14,1,1,250,250,1000,1,1,17,7006.239,21210.228,14203.989,0.0,21210.228,18480.96,4115.758,29338.38399863243,22596.718,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,5.25339393939394,1,0.7585628326324962,0.002,3,0.02486069670957119,3
70,0.5611262321472168,14,4,1,250,250,1000,1,1,12,7006.239,14648.892,7642.653,0.0,14648.892,12010.384,1925.064,23771.076000094414,13935.448,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,5.25339393939394,1,0.7585628326324962,0.002,3,-0.01820255053225205,3
64,1.2142741680145264,13,3,1,250,250,1000,1,1,27,7006.239,29013.849,22007.61,0.0,29013.849,24684.632,6097.846,30364.878984865667,30782.478,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,4.849363636363637,1,0.7585628326324962,0.002,3,-0.012029231177942372,3
71,0.6821539402008057,15,0,1,250,250,1000,1,1,15,7006.239,18514.57,11508.331,0.0,18514.57,14975.851,4704.405,26488.229996979237,19680.256,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,5.657424242424243,1,0.7585628326324962,0.002,3,-0.032150435354970974,3
73,0.6181397438049316,15,2,1,250,250,1000,1,1,13,7006.239,16527.321,9521.082,0.0,16527.321,12764.333,2726.588,21333.12402831704,15490.921,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,5.657424242424243,1,0.7585628326324962,0.002,3,-0.03960402150742257,3
72,0.7791762351989746,15,1,1,250,250,1000,1,1,17,7006.239,21210.228,14203.989,0.0,21210.228,18480.96,4115.758,29338.38399863243,22596.718,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,5.657424242424243,1,0.7585628326324962,0.002,3,0.02486069670957119,3
75,0.5731298923492432,15,4,1,250,250,1000,1,1,12,7006.239,14648.892,7642.653,0.0,14648.892,12010.384,1925.064,23771.076000094414,13935.448,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,5.657424242424243,1,0.7585628326324962,0.002,3,-0.01820255053225205,3
69,1.2472827434539795,14,3,1,250,250,1000,1,1,27,7006.239,29013.849,22007.61,0.0,29013.849,24684.632,6097.846,30364.878984865667,30782.478,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,5.25339393939394,1,0.7585628326324962,0.002,3,-0.012029231177942372,3
