,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size,number of memory types
5,0.5811312198638916,1,4,1,250,250,1000,1,1,12,7006.239,11070.0,4063.761,0.0,11070.0,7530.0,0.0,184736.0,7530.0,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.001,1,0.7585628326324962,0.002,3,-0.027091633466135457,3
3,0.6271414756774902,1,2,1,250,250,1000,1,1,13,7006.239,10580.0,3573.761,0.0,10580.0,8283.0,0.0,166664.0,8283.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,0.7585628326324962,0.002,3,0.013400941687794278,3
8,0.6421449184417725,2,2,1,250,250,1000,1,1,13,7006.239,10580.0,3573.761,0.0,10580.0,8283.0,0.0,166664.0,8283.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.4050303030303031,1,0.7585628326324962,0.002,3,0.013400941687794278,3
1,0.7541704177856445,1,0,1,250,250,1000,1,1,15,7006.239,11926.0,4919.761,0.0,11926.0,9789.0,0.0,200800.0,9789.0,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,0.7585628326324962,0.002,3,-0.009500459699662888,3
6,0.7651727199554443,2,0,1,250,250,1000,1,1,15,7006.239,11926.0,4919.761,0.0,11926.0,9789.0,0.0,200800.0,9789.0,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,0.4050303030303031,1,0.7585628326324962,0.002,3,-0.009500459699662888,3
4,0.84619140625,1,3,1,250,250,1000,1,1,17,7006.239,13462.0,6455.761,0.0,13462.0,11295.0,0.0,215358.0,11295.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,0.001,1,0.7585628326324962,0.002,3,-0.017795484727755644,3
9,0.8641953468322754,2,3,1,250,250,1000,1,1,17,7006.239,13462.0,6455.761,0.0,13462.0,11295.0,0.0,215358.0,11295.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,0.4050303030303031,1,0.7585628326324962,0.002,3,-0.017795484727755644,3
2,0.9622170925140381,1,1,1,250,250,1000,1,1,19,7006.239,14972.0,7965.761,0.0,14972.0,12801.0,0.0,233430.0,12801.0,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,0.001,1,0.7585628326324962,0.002,3,0.03445043355987813,3
7,0.9812216758728027,2,1,1,250,250,1000,1,1,19,7006.239,14972.0,7965.761,0.0,14972.0,12801.0,0.0,233430.0,12801.0,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,0.4050303030303031,1,0.7585628326324962,0.002,3,0.03445043355987813,3
10,0.6031363010406494,2,4,1,250,250,1000,1,1,12,7006.239,11070.0,4063.761,0.0,11070.0,7530.0,0.0,184736.0,7530.0,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.4050303030303031,1,0.7585628326324962,0.002,3,-0.027091633466135457,3
