,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
810,0.5271191596984863,270,2,0.1,214,200,1000,1,1,14,5966.404,16362.8,10396.396,3064.8,19427.6,16362.8,1425.6,118.19,1543.79,0.8412990706957928%,47.196%,47.196%,100.0%,0.0%,0.8553177622845778%,45.794%,45.794%,100.0%,0.0%,zeros,local-local,1,0.1
815,0.2720606327056885,272,1,0.1,216,200,1000,1,1,8,6116.004,6611.8,495.796,2598.4,9210.2,6611.8,634.7,75.12,709.82,0.8271505764071115%,48.611%,48.611%,100.0%,0.0%,0.8178913171478522%,49.537%,49.537%,100.0%,0.0%,zeros,local-local,1,0.1
818,0.24605536460876465,273,1,0.1,216,200,1000,1,1,8,6116.004,6611.8,495.796,2598.4,9210.2,6611.8,634.7,75.12,709.82,0.8271505764071115%,48.611%,48.611%,100.0%,0.0%,0.8178913171478522%,49.537%,49.537%,100.0%,0.0%,zeros,local-local,1,0.1
814,0.5031132698059082,272,0,0.1,216,200,1000,1,1,16,6116.004,12261.4,6145.396,3499.1,15760.5,12261.4,1175.9,140.78,1316.68,0.808632057888593%,50.463%,50.463%,100.0%,0.0%,0.7901135393700746%,52.315%,52.315%,100.0%,0.0%,zeros,local-local,1,0.1
821,0.31907224655151367,274,1,0.1,217,200,1000,1,1,11,6192.178,8110.4,1918.222,2485.7,10596.1,8110.4,828.3,99.34,927.64,0.7879160653984071%,52.535%,52.535%,100.0%,0.0%,0.7833077704675314%,52.995%,52.995%,100.0%,0.0%,zeros,local-local,1,0.1
817,0.49511122703552246,273,0,0.1,216,200,1000,1,1,16,6116.004,12261.4,6145.396,3499.1,15760.5,12261.4,1175.9,140.78,1316.68,0.808632057888593%,50.463%,50.463%,100.0%,0.0%,0.7901135393700746%,52.315%,52.315%,100.0%,0.0%,zeros,local-local,1,0.1
816,0.5701282024383545,272,2,0.1,216,200,1000,1,1,19,6116.004,7476.6,1360.596,3807.7,11284.3,7476.6,1054.9,171.06,1225.96,0.8364098356663708%,47.685%,47.685%,100.0%,0.0%,0.8178913171478522%,49.537%,49.537%,100.0%,0.0%,zeros,local-local,1,0.1
822,0.36408138275146484,274,2,0.1,217,200,1000,1,1,12,6192.178,9066.0,2873.822,4063.4,13129.4,9066.0,940.5,106.55,1047.05,0.8662570792232919%,44.7%,44.7%,100.0%,0.0%,0.7187916414352734%,59.447%,59.447%,100.0%,0.0%,zeros,local-local,1,0.1
823,0.3520791530609131,275,0,0.1,218,200,1000,1,1,12,6269.289,11330.2,5060.911,1774.6,13104.8,11330.2,966.9,104.46,1071.36,0.7949130636650118%,51.835%,51.835%,100.0%,0.0%,0.8361974673347365%,47.706%,47.706%,100.0%,0.0%,zeros,local-local,1,0.1
819,0.5441222190856934,273,2,0.1,216,200,1000,1,1,19,6116.004,7476.6,1360.596,3807.7,11284.3,7476.6,1054.9,171.06,1225.96,0.8364098356663708%,47.685%,47.685%,100.0%,0.0%,0.8178913171478522%,49.537%,49.537%,100.0%,0.0%,zeros,local-local,1,0.1
