,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (plus before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
4403,49.16106367111206,490,2,0.1,390,200,1000,1,1,False,273024.64,70086.0,-202938.64,2521.0,72607.0,39960.0,0.0,0.0,39960.0,0.5293612162687834%,95.128%,93.171%,97.449%,92.784%,0.7190045907704917%,55.128%,57.277%,59.223%,50.543%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,-0.0021401401401401404
4404,51.409568548202515,490,3,0.1,390,200,1000,1,1,False,273024.64,73147.6,-199877.04,1942.4,75090.0,39960.0,0.0,0.0,39960.0,0.5367956456667542%,88.974%,92.5%,86.854%,91.525%,0.7599727839855588%,48.205%,48.438%,47.449%,48.969%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,0.0015145145145145141
4405,51.138508319854736,490,4,0.1,390,200,1000,1,1,False,273024.64,70132.4,-202892.24,2481.4,72613.8,39960.0,0.0,0.0,39960.0,0.540434028839512%,93.846%,93.194%,94.18%,93.532%,0.7802277262040426%,45.641%,43.85%,43.386%,47.761%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,0.004086086086086085
4407,50.99347400665283,490,6,0.1,390,200,1000,1,1,False,273024.64,73751.0,-199273.64,1739.2,75490.2,39960.0,0.0,0.0,39960.0,0.5438719815285067%,90.513%,91.414%,90.05%,91.005%,0.7394599634727383%,50.256%,52.604%,49.51%,51.075%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,0.0018108108108108108
4408,51.206523180007935,490,7,0.1,390,200,1000,1,1,False,273024.64,75584.0,-197440.64,890.4,76474.4,39960.0,0.0,0.0,39960.0,0.5848401747435737%,84.359%,85.876%,80.851%,87.624%,0.7155666380814969%,53.077%,57.767%,55.349%,50.286%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,-0.006918918918918918
4415,8.089820861816406,491,5,0.1,390,200,1000,1,1,161,273024.64,10653.2,-262371.44,0.0,10653.2,6360.0,0.0,0.0,6360.0,0.6931471805599453%,44.359%,0%,0.0%,100.0%,0.6931471805599453%,51.538%,0%,0.0%,100.0%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,-0.0011069182389937108
4409,51.377562284469604,490,8,0.1,390,200,1000,1,1,False,273024.64,76395.0,-196629.64,503.0,76898.0,39960.0,0.0,0.0,39960.0,0.5994083878138708%,80.513%,81.152%,79.487%,81.538%,0.7696132224114137%,48.205%,46.316%,46.809%,49.505%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,0.004343343343343345
4412,49.52514433860779,491,2,0.1,390,200,1000,1,1,False,273024.64,70086.0,-202938.64,2521.0,72607.0,39960.0,0.0,0.0,39960.0,0.5293612162687834%,95.128%,93.171%,97.449%,92.784%,0.7190045907704917%,55.128%,57.277%,59.223%,50.543%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,-0.0021401401401401404
4411,53.46503210067749,491,1,0.1,390,200,1000,1,1,False,273024.64,69982.0,-203042.64,2026.2,72008.2,39960.0,0.0,0.0,39960.0,0.5574086814214563%,89.231%,89.583%,88.66%,89.796%,0.7729509598585269%,49.487%,46.829%,52.174%,47.087%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,-0.0036216216216216207
4419,11.998700380325317,491,9,0.1,390,200,1000,1,1,238,273024.64,15208.8,-257815.84,0.0,15208.8,9440.0,0.0,0.0,9440.0,0.6931471805599453%,52.821%,0%,0.0%,100.0%,0.6931471805599453%,47.692%,0%,0.0%,100.0%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,0.0008305084745762711
