,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
7518,0.38608694076538086,38,155,0.5,100,100,5000,1,1,22,1772.454,3155.0,1382.546,0.0,3155.0,230.5,813.4,1043.9,0.6931471805599453%,58.0%,0%,0.0%,100.0%,0.6931471805599453%,58.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.31868131868131866
7521,0.19704270362854004,38,158,0.5,100,100,5000,1,1,11,1772.454,1879.0,106.546,0.0,1879.0,161.5,288.7,450.2,0.6931471805599453%,54.0%,0%,0.0%,100.0%,0.6931471805599453%,48.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.3176470588235294
7519,0.3940887451171875,38,156,0.5,100,100,5000,1,1,22,1772.454,3188.0,1415.546,0.0,3188.0,219.5,776.7,996.2,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,57.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.4431818181818182
7523,0.20004510879516602,38,160,0.5,100,100,5000,1,1,11,1772.454,2155.0,382.546,0.0,2155.0,189.0,303.9,492.9,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.47
7525,0.18404126167297363,38,162,0.5,100,100,5000,1,1,10,1772.454,2048.0,275.546,0.0,2048.0,178.0,266.0,444.0,0.6931471805599453%,49.0%,0%,0.0%,100.0%,0.6931471805599453%,46.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.05
7526,0.18604159355163574,38,163,0.5,100,100,5000,1,1,10,1772.454,1796.0,23.546,0.0,1796.0,159.0,246.0,405.0,0.6931471805599453%,57.0%,0%,0.0%,100.0%,0.6931471805599453%,56.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.06818181818181818
7522,0.26405978202819824,38,159,0.5,100,100,5000,1,1,15,1772.454,2733.0,960.546,0.0,2733.0,216.5,491.9,708.4,0.6931471805599453%,40.0%,0%,0.0%,100.0%,0.6931471805599453%,42.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.6
7524,0.2740612030029297,38,161,0.5,100,100,5000,1,1,15,1772.454,2566.0,793.546,0.0,2566.0,205.0,483.0,688.0,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,55.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.06451612903225806
7527,0.17003870010375977,38,164,0.5,100,100,5000,1,1,8,1772.454,1783.0,10.546,0.0,1783.0,170.0,202.6,372.6,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,41.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.3225806451612903
7528,0.24105477333068848,38,165,0.5,100,100,5000,1,1,13,1772.454,2036.0,263.546,0.0,2036.0,171.0,365.5,536.5,0.6931471805599453%,53.0%,0%,0.0%,100.0%,0.6931471805599453%,56.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.5869565217391305
7530,0.26805996894836426,38,167,0.5,100,100,5000,1,1,15,1772.454,2502.0,729.546,0.0,2502.0,201.5,483.3,684.8,0.6931471805599453%,52.0%,0%,0.0%,100.0%,0.6931471805599453%,44.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.19
7536,0.1670374870300293,38,173,0.5,100,100,5000,1,1,9,1772.454,1847.0,74.546,0.0,1847.0,165.5,223.0,388.5,0.6931471805599453%,58.0%,0%,0.0%,100.0%,0.6931471805599453%,48.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.12087912087912088
7529,0.31507086753845215,38,166,0.5,100,100,5000,1,1,19,1772.454,3016.0,1243.546,0.0,3016.0,226.0,674.2,900.2,0.6931471805599453%,47.0%,0%,0.0%,100.0%,0.6931471805599453%,46.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.16
7534,0.24105405807495117,38,171,0.5,100,100,5000,1,1,14,1772.454,2684.0,911.546,0.0,2684.0,220.0,462.0,682.0,0.6931471805599453%,47.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.45
