,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size,number of memory types
341,0.5211181640625,69,0,1,250,250,1000,1,1,12,7006.239,17613.171,10606.932,0.0,17613.171,8621.898,12731.131,22.934028849002843,21353.029,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,27.47506060606061,1,0.3793773435003555,0.002,3,-0.17939371569201187,2
342,0.5061147212982178,69,1,1,250,250,1000,1,1,12,7006.239,18506.879,11500.64,0.0,18506.879,8777.91,12523.733,12.914137103714012,21301.643,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,27.47506060606061,1,0.3793773435003555,0.002,3,0.15001190831466255,2
343,0.5871326923370361,69,2,1,250,250,1000,1,1,13,7006.239,15916.465,8910.226,0.0,15916.465,6686.085,17408.761,16.978000283241272,24094.846,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,27.47506060606061,1,0.3793773435003555,0.002,3,-0.4123913079752943,2
339,0.9592173099517822,68,3,1,250,250,1000,1,1,22,7006.239,22410.874,15404.635,0.0,22410.874,8932.931,21166.231,11.912280518402582,30099.162,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,27.07103030303031,1,0.3793773435003555,0.002,3,0.06118197029080646,2
345,0.5371203422546387,69,4,1,250,250,1000,1,1,13,7006.239,17527.284,10521.045,0.0,17527.284,7201.246,18962.829,8.962000489234924,26164.075,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,27.47506060606061,1,0.3793773435003555,0.002,3,-0.0423019750501169,2
346,0.48610997200012207,70,0,1,250,250,1000,1,1,12,7006.239,17613.171,10606.932,0.0,17613.171,8621.898,12731.131,22.934028849002843,21353.029,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,27.879090909090912,1,0.3793773435003555,0.002,3,-0.17939371569201187,2
347,0.47110652923583984,70,1,1,250,250,1000,1,1,12,7006.239,18506.879,11500.64,0.0,18506.879,8777.91,12523.733,12.914137103714012,21301.643,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,27.879090909090912,1,0.3793773435003555,0.002,3,0.15001190831466255,2
348,0.5091152191162109,70,2,1,250,250,1000,1,1,13,7006.239,15916.465,8910.226,0.0,15916.465,6686.085,17408.761,16.978000283241272,24094.846,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,27.879090909090912,1,0.3793773435003555,0.002,3,-0.4123913079752943,2
344,0.9012038707733154,69,3,1,250,250,1000,1,1,22,7006.239,22410.874,15404.635,0.0,22410.874,8932.931,21166.231,11.912280518402582,30099.162,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,27.47506060606061,1,0.3793773435003555,0.002,3,0.06118197029080646,2
350,0.4881105422973633,70,4,1,250,250,1000,1,1,13,7006.239,17527.284,10521.045,0.0,17527.284,7201.246,18962.829,8.962000489234924,26164.075,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,27.879090909090912,1,0.3793773435003555,0.002,3,-0.0423019750501169,2
351,0.4761078357696533,71,0,1,250,250,1000,1,1,12,7006.239,17269.403,10263.164,0.0,17269.403,8441.876,12762.236,21.928040925941474,21204.112,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,28.283121212121216,1,0.3793773435003555,0.002,3,-0.17963066564135133,2
353,0.50911545753479,71,2,1,250,250,1000,1,1,13,7006.239,15849.4,8843.161,0.0,15849.4,6626.869,16780.957,5.9540005922317505,23407.826,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,28.283121212121216,1,0.3793773435003555,0.002,3,-0.3047153095673632,2
349,0.8401896953582764,70,3,1,250,250,1000,1,1,22,7006.239,22476.914,15470.675,0.0,22476.914,9032.229,20951.071,12.912280518402582,29983.3,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,27.879090909090912,1,0.3793773435003555,0.002,3,0.06048085900698851,2
