,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory
33,2.558577299118042,1,33,0.5,500,500,5000,1,1,30,19816.636,28702.0,8885.364,0.0,28702.0,3500.0,0.0,3500.0,0.6931471805599454%,55.6%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
41,1.3803114891052246,1,41,0.5,500,500,5000,1,1,15,19816.636,17656.0,-2160.636,0.0,17656.0,1625.0,0.0,1625.0,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,49.8%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
40,1.675377368927002,1,40,0.5,500,500,5000,1,1,18,19816.636,20533.0,716.364,0.0,20533.0,2000.0,0.0,2000.0,0.6931471805599454%,52.6%,0%,0.0%,100.0%,0.6931471805599454%,48.8%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
39,1.8754239082336426,1,39,0.5,500,500,5000,1,1,21,19816.636,20010.0,193.364,0.0,20010.0,2375.0,0.0,2375.0,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,50.2%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
45,1.0952465534210205,1,45,0.5,500,500,5000,1,1,12,19816.636,14425.0,-5391.636,0.0,14425.0,1250.0,0.0,1250.0,0.6931471805599454%,48.6%,0%,0.0%,100.0%,0.6931471805599454%,49.6%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
37,2.3845374584198,1,37,0.5,500,500,5000,1,1,27,19816.636,23192.0,3375.364,0.0,23192.0,3125.0,0.0,3125.0,0.6931471805599454%,50.2%,0%,0.0%,100.0%,0.6931471805599454%,50.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
43,1.7173876762390137,1,43,0.5,500,500,5000,1,1,19,19816.636,19534.0,-282.636,0.0,19534.0,2125.0,0.0,2125.0,0.6931471805599454%,51.0%,0%,0.0%,100.0%,0.6931471805599454%,51.8%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
42,2.104473829269409,1,42,0.5,500,500,5000,1,1,24,19816.636,22055.0,2238.364,0.0,22055.0,2750.0,0.0,2750.0,0.6931471805599454%,48.2%,0%,0.0%,100.0%,0.6931471805599454%,49.8%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
38,2.743617534637451,1,38,0.5,500,500,5000,1,1,32,19816.636,26325.0,6508.364,0.0,26325.0,3750.0,0.0,3750.0,0.6931471805599454%,51.2%,0%,0.0%,100.0%,0.6931471805599454%,50.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
44,2.059464454650879,1,44,0.5,500,500,5000,1,1,24,19816.636,21093.0,1276.364,0.0,21093.0,2750.0,0.0,2750.0,0.6931471805599454%,50.6%,0%,0.0%,100.0%,0.6931471805599454%,52.8%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
46,1.6133637428283691,1,46,0.5,500,500,5000,1,1,18,19816.636,20890.0,1073.364,0.0,20890.0,2000.0,0.0,2000.0,0.6931471805599454%,50.8%,0%,0.0%,100.0%,0.6931471805599454%,49.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
48,1.6383700370788574,1,48,0.5,500,500,5000,1,1,19,19816.636,20361.0,544.364,0.0,20361.0,2125.0,0.0,2125.0,0.6931471805599454%,49.4%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
49,1.9404380321502686,1,49,0.5,500,500,5000,1,1,22,19816.636,21788.0,1971.364,0.0,21788.0,2500.0,0.0,2500.0,0.6931471805599454%,49.6%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
47,2.3525290489196777,1,47,0.5,500,500,5000,1,1,26,19816.636,23869.0,4052.364,0.0,23869.0,3000.0,0.0,3000.0,0.6931471805599454%,50.6%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
51,2.0914692878723145,2,2,0.5,500,500,5000,1,1,23,19816.636,29833.278,10016.642,0.0,29833.278,3707.269,372.8,4080.069,0.6931471805599454%,50.4%,0%,0.0%,100.0%,0.6931471805599454%,48.0%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
50,2.161487579345703,2,1,0.5,500,500,5000,1,1,24,19816.636,29329.677,9513.041,0.0,29329.677,3858.881,441.801,4300.682,0.6931471805599454%,47.0%,0%,0.0%,100.0%,0.6931471805599454%,51.4%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
54,1.8244125843048096,2,5,0.5,500,500,5000,1,1,21,19816.636,28025.678,8209.042,0.0,28025.678,3446.75,442.65,3889.4,0.6931471805599454%,47.0%,0%,0.0%,100.0%,0.6931471805599454%,48.6%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
53,1.9354357719421387,2,4,0.5,500,500,5000,1,1,22,19816.636,26700.052,6883.416,0.0,26700.052,3647.75,348.15,3995.9,0.6931471805599454%,46.4%,0%,0.0%,100.0%,0.6931471805599454%,49.8%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
52,2.2265024185180664,2,3,0.5,500,500,5000,1,1,25,19816.636,30625.48,10808.844,0.0,30625.48,4147.377,419.35,4566.727,0.6931471805599454%,51.0%,0%,0.0%,100.0%,0.6931471805599454%,50.2%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
55,1.9594414234161377,2,6,0.5,500,500,5000,1,1,22,19816.636,26853.268,7036.632,0.0,26853.268,3636.862,399.35,4036.212,0.6931471805599454%,52.4%,0%,0.0%,100.0%,0.6931471805599454%,49.2%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
56,1.8714230060577393,2,7,0.5,500,500,5000,1,1,21,19816.636,27834.26,8017.624,0.0,27834.26,3517.882,275.4,3793.282,0.6931471805599454%,48.6%,0%,0.0%,100.0%,0.6931471805599454%,50.6%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
57,1.5533506870269775,2,8,0.5,500,500,5000,1,1,17,19816.636,22352.82,2536.184,0.0,22352.82,2850.269,271.35,3121.619,0.6931471805599454%,48.4%,0%,0.0%,100.0%,0.6931471805599454%,49.0%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
59,1.741391897201538,2,10,0.5,500,500,5000,1,1,19,19816.636,23589.63,3772.994,0.0,23589.63,2913.784,294.151,3207.935,0.6931471805599454%,48.4%,0%,0.0%,100.0%,0.6931471805599454%,51.0%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
61,1.728388786315918,2,12,0.5,500,500,5000,1,1,20,19816.636,25758.774,5942.138,0.0,25758.774,3319.312,320.8,3640.112,0.6931471805599454%,51.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
58,2.148484706878662,2,9,0.5,500,500,5000,1,1,24,19816.636,27685.376,7868.74,0.0,27685.376,3884.024,394.3,4278.324,0.6931471805599454%,47.4%,0%,0.0%,100.0%,0.6931471805599454%,49.0%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
62,1.8474159240722656,2,13,0.5,500,500,5000,1,1,21,19816.636,28376.43,8559.794,0.0,28376.43,3558.5,327.9,3886.4,0.6931471805599454%,50.2%,0%,0.0%,100.0%,0.6931471805599454%,49.0%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
60,2.25050687789917,2,11,0.5,500,500,5000,1,1,25,19816.636,31799.018,11982.382,0.0,31799.018,4372.136,441.35,4813.486,0.6931471805599454%,50.6%,0%,0.0%,100.0%,0.6931471805599454%,49.2%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
64,1.780400276184082,2,15,0.5,500,500,5000,1,1,20,19816.636,25734.302,5917.666,0.0,25734.302,3253.12,321.752,3574.872,0.6931471805599454%,49.8%,0%,0.0%,100.0%,0.6931471805599454%,51.4%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
63,2.674603223800659,2,14,0.5,500,500,5000,1,1,31,19816.636,36351.09,16534.454,0.0,36351.09,5370.04,487.6,5857.64,0.6931471805599454%,52.2%,0%,0.0%,100.0%,0.6931471805599454%,49.4%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
66,1.8844258785247803,2,17,0.5,500,500,5000,1,1,21,19816.636,27648.688,7832.052,0.0,27648.688,3664.762,373.35,4038.112,0.6931471805599454%,52.4%,0%,0.0%,100.0%,0.6931471805599454%,51.0%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
65,2.4745571613311768,2,16,0.5,500,500,5000,1,1,28,19816.636,31136.992,11320.356,0.0,31136.992,4629.393,347.0,4976.393,0.6931471805599454%,49.0%,0%,0.0%,100.0%,0.6931471805599454%,51.8%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
67,2.072467803955078,2,18,0.5,500,500,5000,1,1,23,19816.636,30169.402,10352.766,0.0,30169.402,3654.517,423.852,4078.369,0.6931471805599454%,47.8%,0%,0.0%,100.0%,0.6931471805599454%,48.8%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
69,1.9304349422454834,2,20,0.5,500,500,5000,1,1,22,19816.636,27489.002,7672.366,0.0,27489.002,3501.154,298.0,3799.154,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,49.2%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
68,2.269512176513672,2,19,0.5,500,500,5000,1,1,26,19816.636,28770.83,8954.194,0.0,28770.83,4535.141,422.05,4957.191,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
70,2.258509635925293,2,21,0.5,500,500,5000,1,1,26,19816.636,29332.814,9516.178,0.0,29332.814,4441.377,322.7,4764.077,0.6931471805599454%,51.2%,0%,0.0%,100.0%,0.6931471805599454%,47.4%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
73,1.5313451290130615,2,24,0.5,500,500,5000,1,1,17,19816.636,22413.294,2596.658,0.0,22413.294,2680.318,265.77,2946.088,0.6931471805599454%,48.6%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
71,2.523568868637085,2,22,0.5,500,500,5000,1,1,29,19816.636,34696.648,14880.012,0.0,34696.648,4908.858,523.75,5432.608,0.6931471805599454%,45.6%,0%,0.0%,100.0%,0.6931471805599454%,49.4%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
76,1.483335256576538,2,27,0.5,500,500,5000,1,1,16,19816.636,21376.818,1560.182,0.0,21376.818,2531.534,223.364,2754.898,0.6931471805599454%,52.4%,0%,0.0%,100.0%,0.6931471805599454%,51.4%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
74,2.1264796257019043,2,25,0.5,500,500,5000,1,1,24,19816.636,26444.39,6627.754,0.0,26444.39,3822.031,440.75,4262.781,0.6931471805599454%,51.0%,0%,0.0%,100.0%,0.6931471805599454%,53.8%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
72,2.6325931549072266,2,23,0.5,500,500,5000,1,1,31,19816.636,35290.8,15474.164,0.0,35290.8,5364.636,515.4,5880.036,0.6931471805599454%,48.6%,0%,0.0%,100.0%,0.6931471805599454%,46.6%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
75,1.9984500408172607,2,26,0.5,500,500,5000,1,1,22,19816.636,26401.62,6584.984,0.0,26401.62,3665.74,277.248,3942.988,0.6931471805599454%,49.2%,0%,0.0%,100.0%,0.6931471805599454%,53.4%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
79,1.6273670196533203,2,30,0.5,500,500,5000,1,1,18,19816.636,22842.026,3025.39,0.0,22842.026,3097.25,224.85,3322.1,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,45.4%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
77,2.260509729385376,2,28,0.5,500,500,5000,1,1,26,19816.636,36123.158,16306.522,0.0,36123.158,4575.141,429.75,5004.891,0.6931471805599454%,46.6%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
78,2.415543556213379,2,29,0.5,500,500,5000,1,1,28,19816.636,31926.75,12110.114,0.0,31926.75,4937.979,574.05,5512.029,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,49.4%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
80,2.094473123550415,2,31,0.5,500,500,5000,1,1,24,19816.636,28520.448,8703.812,0.0,28520.448,3979.653,366.254,4345.907,0.6931471805599454%,51.0%,0%,0.0%,100.0%,0.6931471805599454%,48.8%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
82,1.873422622680664,2,33,0.5,500,500,5000,1,1,21,19816.636,27942.976,8126.34,0.0,27942.976,3430.135,273.652,3703.787,0.6931471805599454%,55.6%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
84,1.8144094944000244,2,35,0.5,500,500,5000,1,1,21,19816.636,29067.826,9251.19,0.0,29067.826,3500.5,323.2,3823.7,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,54.6%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
81,2.775624990463257,2,32,0.5,500,500,5000,1,1,32,19816.636,35864.477,16047.841,0.0,35864.477,5263.914,569.751,5833.665,0.6931471805599454%,50.8%,0%,0.0%,100.0%,0.6931471805599454%,51.0%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
86,1.6823787689208984,2,37,0.5,500,500,5000,1,1,19,19816.636,25136.572,5319.936,0.0,25136.572,3093.264,293.453,3386.717,0.6931471805599454%,50.2%,0%,0.0%,100.0%,0.6931471805599454%,50.4%,0%,0.0%,100.0%,zeros,local-global,1.0256410256410255,0.1,0.6702209294266804,0.002
