,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory
9,1.382312297821045,1,9,0.5,500,500,5000,1,1,15,19816.636,17342.0,-2474.636,0.0,17342.0,1625.0,0.0,1625.0,0.6931471805599454%,47.4%,0%,0.0%,100.0%,0.6931471805599454%,49.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
6,1.7493934631347656,1,6,0.5,500,500,5000,1,1,19,19816.636,18500.0,-1316.636,0.0,18500.0,2125.0,0.0,2125.0,0.6931471805599454%,52.4%,0%,0.0%,100.0%,0.6931471805599454%,49.2%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
8,1.7713985443115234,1,8,0.5,500,500,5000,1,1,19,19816.636,19324.0,-492.636,0.0,19324.0,2125.0,0.0,2125.0,0.6931471805599454%,48.4%,0%,0.0%,100.0%,0.6931471805599454%,49.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
3,1.9734439849853516,1,3,0.5,500,500,5000,1,1,21,19816.636,22660.0,2843.364,0.0,22660.0,2375.0,0.0,2375.0,0.6931471805599454%,51.0%,0%,0.0%,100.0%,0.6931471805599454%,50.2%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
4,2.0584640502929688,1,4,0.5,500,500,5000,1,1,22,19816.636,21339.0,1522.364,0.0,21339.0,2500.0,0.0,2500.0,0.6931471805599454%,46.4%,0%,0.0%,100.0%,0.6931471805599454%,49.8%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
2,2.277512550354004,1,2,0.5,500,500,5000,1,1,25,19816.636,24646.0,4829.364,0.0,24646.0,2875.0,0.0,2875.0,0.6931471805599454%,50.4%,0%,0.0%,100.0%,0.6931471805599454%,48.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
5,2.302517890930176,1,5,0.5,500,500,5000,1,1,25,19816.636,24461.0,4644.364,0.0,24461.0,2875.0,0.0,2875.0,0.6931471805599454%,47.0%,0%,0.0%,100.0%,0.6931471805599454%,48.6%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
7,2.606585741043091,1,7,0.5,500,500,5000,1,1,28,19816.636,25952.0,6135.364,0.0,25952.0,3250.0,0.0,3250.0,0.6931471805599454%,48.6%,0%,0.0%,100.0%,0.6931471805599454%,50.6%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
1,3.071690559387207,1,1,0.5,500,500,5000,1,1,33,19816.636,26792.0,6975.364,0.0,26792.0,3875.0,0.0,3875.0,0.6931471805599454%,47.0%,0%,0.0%,100.0%,0.6931471805599454%,51.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
10,1.9154314994812012,1,10,0.5,500,500,5000,1,1,20,19816.636,21421.0,1604.364,0.0,21421.0,2250.0,0.0,2250.0,0.6931471805599454%,48.4%,0%,0.0%,100.0%,0.6931471805599454%,51.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
12,1.977445363998413,1,12,0.5,500,500,5000,1,1,20,19816.636,21324.0,1507.364,0.0,21324.0,2250.0,0.0,2250.0,0.6931471805599454%,51.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
16,1.5753552913665771,1,16,0.5,500,500,5000,1,1,16,19816.636,18663.0,-1153.636,0.0,18663.0,1750.0,0.0,1750.0,0.6931471805599454%,49.0%,0%,0.0%,100.0%,0.6931471805599454%,51.8%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
11,2.459423065185547,1,11,0.5,500,500,5000,1,1,26,19816.636,24489.0,4672.364,0.0,24489.0,3000.0,0.0,3000.0,0.6931471805599454%,50.6%,0%,0.0%,100.0%,0.6931471805599454%,49.2%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
13,2.3025197982788086,1,13,0.5,500,500,5000,1,1,24,19816.636,23831.0,4014.364,0.0,23831.0,2750.0,0.0,2750.0,0.6931471805599454%,50.2%,0%,0.0%,100.0%,0.6931471805599454%,49.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
14,2.3785364627838135,1,14,0.5,500,500,5000,1,1,25,19816.636,26492.0,6675.364,0.0,26492.0,2875.0,0.0,2875.0,0.6931471805599454%,52.2%,0%,0.0%,100.0%,0.6931471805599454%,49.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
15,2.3055191040039062,1,15,0.5,500,500,5000,1,1,24,19816.636,23354.0,3537.364,0.0,23354.0,2750.0,0.0,2750.0,0.6931471805599454%,49.8%,0%,0.0%,100.0%,0.6931471805599454%,51.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
18,1.8104078769683838,1,18,0.5,500,500,5000,1,1,19,19816.636,22314.0,2497.364,0.0,22314.0,2125.0,0.0,2125.0,0.6931471805599454%,47.8%,0%,0.0%,100.0%,0.6931471805599454%,48.8%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
19,1.934436559677124,1,19,0.5,500,500,5000,1,1,21,19816.636,20398.0,581.364,0.0,20398.0,2375.0,0.0,2375.0,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
17,2.734616279602051,1,17,0.5,500,500,5000,1,1,29,19816.636,24574.0,4757.364,0.0,24574.0,3375.0,0.0,3375.0,0.6931471805599454%,52.4%,0%,0.0%,100.0%,0.6931471805599454%,51.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
21,1.6293678283691406,1,21,0.5,500,500,5000,1,1,18,19816.636,19899.0,82.364,0.0,19899.0,2000.0,0.0,2000.0,0.6931471805599454%,51.2%,0%,0.0%,100.0%,0.6931471805599454%,47.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
25,1.2792880535125732,1,25,0.5,500,500,5000,1,1,14,19816.636,16815.0,-3001.636,0.0,16815.0,1500.0,0.0,1500.0,0.6931471805599454%,51.0%,0%,0.0%,100.0%,0.6931471805599454%,53.8%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
20,2.125478982925415,1,20,0.5,500,500,5000,1,1,24,19816.636,23223.0,3406.364,0.0,23223.0,2750.0,0.0,2750.0,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,49.2%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
24,2.2645108699798584,1,24,0.5,500,500,5000,1,1,26,19816.636,22728.0,2911.364,0.0,22728.0,3000.0,0.0,3000.0,0.6931471805599454%,48.6%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
22,2.500563383102417,1,22,0.5,500,500,5000,1,1,29,19816.636,27976.0,8159.364,0.0,27976.0,3375.0,0.0,3375.0,0.6931471805599454%,45.6%,0%,0.0%,100.0%,0.6931471805599454%,49.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
26,2.0394606590270996,1,26,0.5,500,500,5000,1,1,23,19816.636,22209.0,2392.364,0.0,22209.0,2625.0,0.0,2625.0,0.6931471805599454%,49.2%,0%,0.0%,100.0%,0.6931471805599454%,53.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
23,2.7026095390319824,1,23,0.5,500,500,5000,1,1,32,19816.636,27262.0,7445.364,0.0,27262.0,3750.0,0.0,3750.0,0.6931471805599454%,48.6%,0%,0.0%,100.0%,0.6931471805599454%,46.6%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
27,1.8404157161712646,1,27,0.5,500,500,5000,1,1,21,19816.636,20789.0,972.364,0.0,20789.0,2375.0,0.0,2375.0,0.6931471805599454%,52.4%,0%,0.0%,100.0%,0.6931471805599454%,51.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
30,2.211498737335205,1,30,0.5,500,500,5000,1,1,25,19816.636,23455.0,3638.364,0.0,23455.0,2875.0,0.0,2875.0,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,45.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
31,2.2585086822509766,1,31,0.5,500,500,5000,1,1,26,19816.636,23855.0,4038.364,0.0,23855.0,3000.0,0.0,3000.0,0.6931471805599454%,51.0%,0%,0.0%,100.0%,0.6931471805599454%,48.8%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
29,2.710610866546631,1,29,0.5,500,500,5000,1,1,32,19816.636,24240.0,4423.364,0.0,24240.0,3750.0,0.0,3750.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,49.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
28,3.031682252883911,1,28,0.5,500,500,5000,1,1,35,19816.636,32877.0,13060.364,0.0,32877.0,4125.0,0.0,4125.0,0.6931471805599454%,46.6%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
34,1.7373921871185303,1,34,0.5,500,500,5000,1,1,19,19816.636,21134.0,1317.364,0.0,21134.0,2125.0,0.0,2125.0,0.6931471805599454%,49.8%,0%,0.0%,100.0%,0.6931471805599454%,49.4%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
35,1.771399736404419,1,35,0.5,500,500,5000,1,1,20,19816.636,22931.0,3114.364,0.0,22931.0,2250.0,0.0,2250.0,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,54.6%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
32,2.0414609909057617,1,32,0.5,500,500,5000,1,1,23,19816.636,24463.0,4646.364,0.0,24463.0,2625.0,0.0,2625.0,0.6931471805599454%,50.8%,0%,0.0%,100.0%,0.6931471805599454%,51.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
36,1.7683990001678467,1,36,0.5,500,500,5000,1,1,20,19816.636,20987.0,1170.364,0.0,20987.0,2250.0,0.0,2250.0,0.6931471805599454%,49.6%,0%,0.0%,100.0%,0.6931471805599454%,47.6%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,0.6702209294266804,0.002
