,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
1,0.560276985168457,1,0,2,250,250,1000,1,1,15,7006.239,23852.0,16845.761,0.0,23852.0,13052.0,0.0,200800.0,13052.0,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.019000919399325775
5,0.5064492225646973,1,4,2,250,250,1000,1,1,12,7006.239,22140.0,15133.761,0.0,22140.0,10040.0,0.0,184736.0,10040.0,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.054183266932270914
3,0.5374541282653809,1,2,2,250,250,1000,1,1,13,7006.239,21160.0,14153.761,0.0,21160.0,11044.0,0.0,166664.0,11044.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,0.026801883375588555
7,0.6598167419433594,1,6,2,250,250,1000,1,1,16,7006.239,24928.0,17921.761,0.0,24928.0,14056.0,0.0,188250.0,14056.0,0.6931471805599454%,46.4%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,0.00910643141718839
4,0.7058260440826416,1,3,2,250,250,1000,1,1,17,7006.239,26924.0,19917.761,0.0,26924.0,15060.0,0.0,215358.0,15060.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.03559096945551129
8,0.7118277549743652,1,7,2,250,250,1000,1,1,18,7006.239,27928.0,20921.761,0.0,27928.0,16064.0,0.0,219374.0,16064.0,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,46.8%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.018924302788844622
2,0.773916482925415,1,1,2,250,250,1000,1,1,19,7006.239,29944.0,22937.761,0.0,29944.0,17068.0,0.0,233430.0,17068.0,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,0.06890086711975626
9,0.884371280670166,1,8,2,250,250,1000,1,1,22,7006.239,35920.0,28913.761,0.0,35920.0,20080.0,0.0,301200.0,20080.0,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,45.6%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.11633466135458168
10,0.5650908946990967,1,9,2,250,250,1000,1,1,14,7006.239,24424.0,17417.761,0.0,24424.0,12048.0,0.0,189756.0,12048.0,0.6931471805599454%,54.0%,0%,0.0%,100.0%,0.6931471805599454%,58.0%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.01195219123505976
12,0.657649040222168,1,11,2,250,250,1000,1,1,16,7006.239,26760.0,19753.761,0.0,26760.0,14056.0,0.0,214856.0,14056.0,0.6931471805599454%,48.4%,0%,0.0%,100.0%,0.6931471805599454%,50.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.00910643141718839
6,1.2382011413574219,1,5,2,250,250,1000,1,1,30,7006.239,43632.0,36625.761,0.0,43632.0,28112.0,0.0,327806.0,28112.0,0.6931471805599454%,48.0%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,0.04154809334092203
11,0.8952763080596924,1,10,2,250,250,1000,1,1,22,7006.239,32468.0,25461.761,0.0,32468.0,20080.0,0.0,244976.0,20080.0,0.6931471805599454%,53.2%,0%,0.0%,100.0%,0.6931471805599454%,49.6%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,0.05737051792828685
13,0.7640836238861084,1,12,2,250,250,1000,1,1,19,7006.239,33104.0,26097.761,0.0,33104.0,17068.0,0.0,288650.0,17068.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,54.0%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.06796344035622218
16,0.7130711078643799,1,15,2,250,250,1000,1,1,18,7006.239,27580.0,20573.761,0.0,27580.0,16064.0,0.0,210840.0,16064.0,0.6931471805599454%,53.2%,0%,0.0%,100.0%,0.6931471805599454%,51.6%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,0.052788844621513946
15,0.7810859680175781,1,14,2,250,250,1000,1,1,20,7006.239,29240.0,22233.761,0.0,29240.0,18072.0,0.0,210840.0,18072.0,0.6931471805599454%,47.2%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.04161133244798584
14,0.8360981941223145,1,13,2,250,250,1000,1,1,21,7006.239,30172.0,23165.761,0.0,30172.0,19076.0,0.0,225398.0,19076.0,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,50.8%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.009645628014258754
17,0.730715274810791,1,16,2,250,250,1000,1,1,18,7006.239,29820.0,22813.761,0.0,29820.0,16064.0,0.0,248992.0,16064.0,0.6931471805599454%,49.6%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.026892430278884463
19,0.4829092025756836,1,18,2,250,250,1000,1,1,12,7006.239,20644.0,13637.761,0.0,20644.0,10040.0,0.0,170680.0,10040.0,0.6931471805599454%,49.2%,0%,0.0%,100.0%,0.6931471805599454%,49.2%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,0.07330677290836653
20,0.49491119384765625,1,19,2,250,250,1000,1,1,12,7006.239,21248.0,14241.761,0.0,21248.0,10040.0,0.0,187748.0,10040.0,0.6931471805599454%,52.8%,0%,0.0%,100.0%,0.6931471805599454%,50.0%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.062151394422310755
18,0.7365467548370361,1,17,2,250,250,1000,1,1,18,7006.239,28412.0,21405.761,0.0,28412.0,16064.0,0.0,230920.0,16064.0,0.6931471805599454%,58.0%,0%,0.0%,100.0%,0.6931471805599454%,46.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.03187250996015936
23,0.5593791007995605,2,2,2,250,250,1000,1,1,13,7006.239,21160.0,14153.761,0.0,21160.0,11044.0,0.0,166664.0,11044.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,0.026801883375588555
21,0.6384801864624023,2,0,2,250,250,1000,1,1,15,7006.239,23852.0,16845.761,0.0,23852.0,13052.0,0.0,200800.0,13052.0,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.019000919399325775
25,0.5533781051635742,2,4,2,250,250,1000,1,1,12,7006.239,22140.0,15133.761,0.0,22140.0,10040.0,0.0,184736.0,10040.0,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.054183266932270914
24,0.7571029663085938,2,3,2,250,250,1000,1,1,17,7006.239,26924.0,19917.761,0.0,26924.0,15060.0,0.0,215358.0,15060.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.03559096945551129
22,0.8391191959381104,2,1,2,250,250,1000,1,1,19,7006.239,29944.0,22937.761,0.0,29944.0,17068.0,0.0,233430.0,17068.0,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,0.06890086711975626
27,0.7339513301849365,2,6,2,250,250,1000,1,1,16,7006.239,24928.0,17921.761,0.0,24928.0,14056.0,0.0,188250.0,14056.0,0.6931471805599454%,46.4%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,0.00910643141718839
28,0.8159699440002441,2,7,2,250,250,1000,1,1,18,7006.239,27928.0,20921.761,0.0,27928.0,16064.0,0.0,219374.0,16064.0,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,46.8%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.018924302788844622
30,0.5908102989196777,2,9,2,250,250,1000,1,1,14,7006.239,24424.0,17417.761,0.0,24424.0,12048.0,0.0,189756.0,12048.0,0.6931471805599454%,54.0%,0%,0.0%,100.0%,0.6931471805599454%,58.0%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.01195219123505976
29,0.9593863487243652,2,8,2,250,250,1000,1,1,22,7006.239,35920.0,28913.761,0.0,35920.0,20080.0,0.0,301200.0,20080.0,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,45.6%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.11633466135458168
32,0.643341064453125,2,11,2,250,250,1000,1,1,16,7006.239,26760.0,19753.761,0.0,26760.0,14056.0,0.0,214856.0,14056.0,0.6931471805599454%,48.4%,0%,0.0%,100.0%,0.6931471805599454%,50.4%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.00910643141718839
26,1.296154499053955,2,5,2,250,250,1000,1,1,30,7006.239,43632.0,36625.761,0.0,43632.0,28112.0,0.0,327806.0,28112.0,0.6931471805599454%,48.0%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,0.04154809334092203
31,0.8869531154632568,2,10,2,250,250,1000,1,1,22,7006.239,32468.0,25461.761,0.0,32468.0,20080.0,0.0,244976.0,20080.0,0.6931471805599454%,53.2%,0%,0.0%,100.0%,0.6931471805599454%,49.6%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,0.05737051792828685
33,0.748671293258667,2,12,2,250,250,1000,1,1,19,7006.239,33104.0,26097.761,0.0,33104.0,17068.0,0.0,288650.0,17068.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,54.0%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.06796344035622218
34,0.8170030117034912,2,13,2,250,250,1000,1,1,21,7006.239,30172.0,23165.761,0.0,30172.0,19076.0,0.0,225398.0,19076.0,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,50.8%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.009645628014258754
35,0.7563188076019287,2,14,2,250,250,1000,1,1,20,7006.239,29240.0,22233.761,0.0,29240.0,18072.0,0.0,210840.0,18072.0,0.6931471805599454%,47.2%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.04161133244798584
39,0.42966127395629883,2,18,2,250,250,1000,1,1,12,7006.239,20644.0,13637.761,0.0,20644.0,10040.0,0.0,170680.0,10040.0,0.6931471805599454%,49.2%,0%,0.0%,100.0%,0.6931471805599454%,49.2%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,0.07330677290836653
36,0.6675341129302979,2,15,2,250,250,1000,1,1,18,7006.239,27580.0,20573.761,0.0,27580.0,16064.0,0.0,210840.0,16064.0,0.6931471805599454%,53.2%,0%,0.0%,100.0%,0.6931471805599454%,51.6%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,0.052788844621513946
37,0.676891565322876,2,16,2,250,250,1000,1,1,18,7006.239,29820.0,22813.761,0.0,29820.0,16064.0,0.0,248992.0,16064.0,0.6931471805599454%,49.6%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.026892430278884463
40,0.43303632736206055,2,19,2,250,250,1000,1,1,12,7006.239,21248.0,14241.761,0.0,21248.0,10040.0,0.0,187748.0,10040.0,0.6931471805599454%,52.8%,0%,0.0%,100.0%,0.6931471805599454%,50.0%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.062151394422310755
38,0.6828796863555908,2,17,2,250,250,1000,1,1,18,7006.239,28412.0,21405.761,0.0,28412.0,16064.0,0.0,230920.0,16064.0,0.6931471805599454%,58.0%,0%,0.0%,100.0%,0.6931471805599454%,46.4%,0%,0.0%,100.0%,zeros,local-global,0.3371260504201681,1,1.517509374001422,0.002,3,-0.03187250996015936
41,0.5815844535827637,3,0,2,250,250,1000,1,1,15,7006.239,23852.0,16845.761,0.0,23852.0,13052.0,0.0,200800.0,13052.0,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.019000919399325775
43,0.4548320770263672,3,2,2,250,250,1000,1,1,13,7006.239,21160.0,14153.761,0.0,21160.0,11044.0,0.0,166664.0,11044.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,0.026801883375588555
45,0.4447629451751709,3,4,2,250,250,1000,1,1,12,7006.239,22140.0,15133.761,0.0,22140.0,10040.0,0.0,184736.0,10040.0,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.054183266932270914
42,0.7160475254058838,3,1,2,250,250,1000,1,1,19,7006.239,29944.0,22937.761,0.0,29944.0,17068.0,0.0,233430.0,17068.0,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,0.06890086711975626
44,0.6336984634399414,3,3,2,250,250,1000,1,1,17,7006.239,26924.0,19917.761,0.0,26924.0,15060.0,0.0,215358.0,15060.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.03559096945551129
47,0.5763812065124512,3,6,2,250,250,1000,1,1,16,7006.239,24928.0,17921.761,0.0,24928.0,14056.0,0.0,188250.0,14056.0,0.6931471805599454%,46.4%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,0.00910643141718839
48,0.6930546760559082,3,7,2,250,250,1000,1,1,18,7006.239,27928.0,20921.761,0.0,27928.0,16064.0,0.0,219374.0,16064.0,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,46.8%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.018924302788844622
50,0.538550853729248,3,9,2,250,250,1000,1,1,14,7006.239,24424.0,17417.761,0.0,24424.0,12048.0,0.0,189756.0,12048.0,0.6931471805599454%,54.0%,0%,0.0%,100.0%,0.6931471805599454%,58.0%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.01195219123505976
49,0.8006114959716797,3,8,2,250,250,1000,1,1,22,7006.239,35920.0,28913.761,0.0,35920.0,20080.0,0.0,301200.0,20080.0,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,45.6%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.11633466135458168
52,0.5839381217956543,3,11,2,250,250,1000,1,1,16,7006.239,26760.0,19753.761,0.0,26760.0,14056.0,0.0,214856.0,14056.0,0.6931471805599454%,48.4%,0%,0.0%,100.0%,0.6931471805599454%,50.4%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.00910643141718839
46,1.126887559890747,3,5,2,250,250,1000,1,1,30,7006.239,43632.0,36625.761,0.0,43632.0,28112.0,0.0,327806.0,28112.0,0.6931471805599454%,48.0%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,0.04154809334092203
51,0.842775821685791,3,10,2,250,250,1000,1,1,22,7006.239,32468.0,25461.761,0.0,32468.0,20080.0,0.0,244976.0,20080.0,0.6931471805599454%,53.2%,0%,0.0%,100.0%,0.6931471805599454%,49.6%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,0.05737051792828685
53,0.7222309112548828,3,12,2,250,250,1000,1,1,19,7006.239,33104.0,26097.761,0.0,33104.0,17068.0,0.0,288650.0,17068.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,54.0%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.06796344035622218
54,0.7864220142364502,3,13,2,250,250,1000,1,1,21,7006.239,30172.0,23165.761,0.0,30172.0,19076.0,0.0,225398.0,19076.0,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,50.8%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.009645628014258754
55,0.7371783256530762,3,14,2,250,250,1000,1,1,20,7006.239,29240.0,22233.761,0.0,29240.0,18072.0,0.0,210840.0,18072.0,0.6931471805599454%,47.2%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.04161133244798584
59,0.4456188678741455,3,18,2,250,250,1000,1,1,12,7006.239,20644.0,13637.761,0.0,20644.0,10040.0,0.0,170680.0,10040.0,0.6931471805599454%,49.2%,0%,0.0%,100.0%,0.6931471805599454%,49.2%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,0.07330677290836653
56,0.6647701263427734,3,15,2,250,250,1000,1,1,18,7006.239,27580.0,20573.761,0.0,27580.0,16064.0,0.0,210840.0,16064.0,0.6931471805599454%,53.2%,0%,0.0%,100.0%,0.6931471805599454%,51.6%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,0.052788844621513946
57,0.6928603649139404,3,16,2,250,250,1000,1,1,18,7006.239,29820.0,22813.761,0.0,29820.0,16064.0,0.0,248992.0,16064.0,0.6931471805599454%,49.6%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.026892430278884463
60,0.432889461517334,3,19,2,250,250,1000,1,1,12,7006.239,21248.0,14241.761,0.0,21248.0,10040.0,0.0,187748.0,10040.0,0.6931471805599454%,52.8%,0%,0.0%,100.0%,0.6931471805599454%,50.0%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.062151394422310755
58,0.6678690910339355,3,17,2,250,250,1000,1,1,18,7006.239,28412.0,21405.761,0.0,28412.0,16064.0,0.0,230920.0,16064.0,0.6931471805599454%,58.0%,0%,0.0%,100.0%,0.6931471805599454%,46.4%,0%,0.0%,100.0%,zeros,local-global,0.6732521008403362,1,1.517509374001422,0.002,3,-0.03187250996015936
61,0.5813167095184326,4,0,2,250,250,1000,1,1,15,7006.239,23852.0,16845.761,0.0,23852.0,13052.0,0.0,200800.0,13052.0,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.019000919399325775
63,0.49459338188171387,4,2,2,250,250,1000,1,1,13,7006.239,21160.0,14153.761,0.0,21160.0,11044.0,0.0,166664.0,11044.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,0.026801883375588555
65,0.4633309841156006,4,4,2,250,250,1000,1,1,12,7006.239,22140.0,15133.761,0.0,22140.0,10040.0,0.0,184736.0,10040.0,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.054183266932270914
62,0.730151891708374,4,1,2,250,250,1000,1,1,19,7006.239,29944.0,22937.761,0.0,29944.0,17068.0,0.0,233430.0,17068.0,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,0.06890086711975626
64,0.6695406436920166,4,3,2,250,250,1000,1,1,17,7006.239,26924.0,19917.761,0.0,26924.0,15060.0,0.0,215358.0,15060.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.03559096945551129
67,0.609827995300293,4,6,2,250,250,1000,1,1,16,7006.239,24928.0,17921.761,0.0,24928.0,14056.0,0.0,188250.0,14056.0,0.6931471805599454%,46.4%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,0.00910643141718839
68,0.7217087745666504,4,7,2,250,250,1000,1,1,18,7006.239,27928.0,20921.761,0.0,27928.0,16064.0,0.0,219374.0,16064.0,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,46.8%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.018924302788844622
70,0.538205623626709,4,9,2,250,250,1000,1,1,14,7006.239,24424.0,17417.761,0.0,24424.0,12048.0,0.0,189756.0,12048.0,0.6931471805599454%,54.0%,0%,0.0%,100.0%,0.6931471805599454%,58.0%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.01195219123505976
69,0.8612771034240723,4,8,2,250,250,1000,1,1,22,7006.239,35920.0,28913.761,0.0,35920.0,20080.0,0.0,301200.0,20080.0,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,45.6%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.11633466135458168
72,0.617241621017456,4,11,2,250,250,1000,1,1,16,7006.239,26760.0,19753.761,0.0,26760.0,14056.0,0.0,214856.0,14056.0,0.6931471805599454%,48.4%,0%,0.0%,100.0%,0.6931471805599454%,50.4%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.00910643141718839
66,1.1822757720947266,4,5,2,250,250,1000,1,1,30,7006.239,43632.0,36625.761,0.0,43632.0,28112.0,0.0,327806.0,28112.0,0.6931471805599454%,48.0%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,0.04154809334092203
71,0.830289363861084,4,10,2,250,250,1000,1,1,22,7006.239,32468.0,25461.761,0.0,32468.0,20080.0,0.0,244976.0,20080.0,0.6931471805599454%,53.2%,0%,0.0%,100.0%,0.6931471805599454%,49.6%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,0.05737051792828685
73,0.7412698268890381,4,12,2,250,250,1000,1,1,19,7006.239,33104.0,26097.761,0.0,33104.0,17068.0,0.0,288650.0,17068.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,54.0%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.06796344035622218
74,0.8172862529754639,4,13,2,250,250,1000,1,1,21,7006.239,30172.0,23165.761,0.0,30172.0,19076.0,0.0,225398.0,19076.0,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,50.8%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.009645628014258754
75,0.7672746181488037,4,14,2,250,250,1000,1,1,20,7006.239,29240.0,22233.761,0.0,29240.0,18072.0,0.0,210840.0,18072.0,0.6931471805599454%,47.2%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.04161133244798584
76,0.6862571239471436,4,15,2,250,250,1000,1,1,18,7006.239,27580.0,20573.761,0.0,27580.0,16064.0,0.0,210840.0,16064.0,0.6931471805599454%,53.2%,0%,0.0%,100.0%,0.6931471805599454%,51.6%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,0.052788844621513946
77,0.6812562942504883,4,16,2,250,250,1000,1,1,18,7006.239,29820.0,22813.761,0.0,29820.0,16064.0,0.0,248992.0,16064.0,0.6931471805599454%,49.6%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.026892430278884463
79,0.47110557556152344,4,18,2,250,250,1000,1,1,12,7006.239,20644.0,13637.761,0.0,20644.0,10040.0,0.0,170680.0,10040.0,0.6931471805599454%,49.2%,0%,0.0%,100.0%,0.6931471805599454%,49.2%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,0.07330677290836653
80,0.4701051712036133,4,19,2,250,250,1000,1,1,12,7006.239,21248.0,14241.761,0.0,21248.0,10040.0,0.0,187748.0,10040.0,0.6931471805599454%,52.8%,0%,0.0%,100.0%,0.6931471805599454%,50.0%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.062151394422310755
78,0.6982595920562744,4,17,2,250,250,1000,1,1,18,7006.239,28412.0,21405.761,0.0,28412.0,16064.0,0.0,230920.0,16064.0,0.6931471805599454%,58.0%,0%,0.0%,100.0%,0.6931471805599454%,46.4%,0%,0.0%,100.0%,zeros,local-global,1.009378151260504,1,1.517509374001422,0.002,3,-0.03187250996015936
