,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
2260,0.674201488494873,113,19,2,250,250,1000,1,1,17,7006.239,42432.178,35425.939,0.0,42432.178,22609.841,28051.364,127.80042555728936,50661.205,0.6931471805599454%,52.8%,0%,0.0%,100.0%,0.6931471805599454%,50.0%,0%,0.0%,100.0%,zeros,local-global,37.64711764705882,1,1.517509374001422,0.002,3,0.400771019242243
2257,1.0587213039398193,113,16,2,250,250,1000,1,1,28,7006.239,58257.596,51251.357,0.0,58257.596,30618.724,46185.241,147.76431483815668,76803.965,0.6931471805599454%,49.6%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,37.64711764705882,1,1.517509374001422,0.002,3,-0.20466415369373694
2265,0.45386767387390137,114,4,2,250,250,1000,1,1,12,7006.239,36355.125,29348.886,0.0,36355.125,22050.326,18787.095,131.78413068162214,40837.421,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,-0.0012229797531097437
2262,0.6861546039581299,114,1,2,250,250,1000,1,1,18,7006.239,45519.532,38513.293,0.0,45519.532,26466.334,26710.924,189.7762743175048,53177.258,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,-0.024537997977259262
2267,0.45377087593078613,114,6,2,250,250,1000,1,1,12,7006.239,35677.12,28670.881,0.0,35677.12,21083.18,17201.427,165.7841067782364,38284.607,0.6931471805599454%,46.4%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,0.02771237562551776
2264,0.7725107669830322,114,3,2,250,250,1000,1,1,21,7006.239,47973.003,40966.764,0.0,47973.003,25247.968,30869.928,127.78442590708552,56117.896,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,-0.15753566864534177
2270,0.6483054161071777,114,9,2,250,250,1000,1,1,17,7006.239,41973.514,34967.275,0.0,41973.514,25410.839,24752.356,179.81657600796947,50163.195,0.6931471805599454%,54.0%,0%,0.0%,100.0%,0.6931471805599454%,58.0%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,-0.33045788901906964
2268,0.8224978446960449,114,7,2,250,250,1000,1,1,21,7006.239,49579.229,42572.99,0.0,49579.229,26296.103,31981.1,115.74460910924861,58277.203,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,46.8%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,-0.04485089131240255
2266,1.0621342658996582,114,5,2,250,250,1000,1,1,27,7006.239,59967.755,52961.516,0.0,59967.755,32255.787,45919.276,233.84413789294058,78175.063,0.6931471805599454%,48.0%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,-0.013557170187358993
2269,0.9289529323577881,114,8,2,250,250,1000,1,1,25,7006.239,54703.007,47696.768,0.0,54703.007,28558.218,41116.81,195.8326310834359,69675.028,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,45.6%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,-0.24110389909987412
