,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
12,0.8421900272369385,6,2,0.5,200,200,1000,1,1,26,5013.257,9852.546,4839.289,0.0,9852.546,3777.564,10339.743,14117.307,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,10.526315789473683,1,0.10602853043154843,0.02,3,-0.15807689633435684
16,0.5851325988769531,8,2,0.5,200,200,1000,1,1,20,5013.257,8233.106,3219.849,0.0,8233.106,2733.059,9696.724,12429.783,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,14.736842105263158,1,0.10602853043154843,0.02,3,-0.22294707896759278
17,0.6011350154876709,9,1,0.5,200,200,1000,1,1,21,5013.257,7556.472,2543.215,0.0,7556.472,2450.259,8907.888,11358.147,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,16.842105263157894,1,0.10602853043154843,0.02,3,0.43583674236383296
18,0.46410417556762695,9,2,0.5,200,200,1000,1,1,15,5013.257,7219.727,2206.47,0.0,7219.727,2649.23,7803.716,10452.946,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,16.842105263157894,1,0.10602853043154843,0.02,3,-0.3381225222851253
19,0.7311644554138184,10,1,0.5,200,200,1000,1,1,24,5013.257,7966.093,2952.836,0.0,7966.093,1859.839,20731.077,22590.916,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,18.94736842105263,1,0.10602853043154843,0.02,3,0.8375503688258468

21,0.765172004699707,11,1,0.5,200,200,1000,1,1,24,5013.257,7966.093,2952.836,0.0,7966.093,1859.839,20731.077,22590.916,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,21.052631578947366,1,0.10602853043154843,0.02,3,0.8375503688258468
23,0.8071815967559814,12,1,0.5,200,200,1000,1,1,24,5013.257,7966.093,2952.836,0.0,7966.093,1859.839,20731.077,22590.916,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,23.157894736842103,1,0.10602853043154843,0.02,3,0.8375503688258468
25,0.9392116069793701,13,1,0.5,200,200,1000,1,1,24,5013.257,7966.093,2952.836,0.0,7966.093,1859.839,20731.077,22590.916,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,25.263157894736842,1,0.10602853043154843,0.02,3,0.8375503688258468
27,0.8972020149230957,14,1,0.5,200,200,1000,1,1,24,5013.257,7966.093,2952.836,0.0,7966.093,1859.839,20731.077,22590.916,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,27.36842105263158,1,0.10602853043154843,0.02,3,0.8375503688258468
29,0.8661949634552002,15,1,0.5,200,200,1000,1,1,24,5013.257,7966.093,2952.836,0.0,7966.093,1859.839,20731.077,22590.916,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,29.473684210526315,1,0.10602853043154843,0.02,3,0.8375503688258468
31,0.7751741409301758,16,1,0.5,200,200,1000,1,1,24,5013.257,7966.093,2952.836,0.0,7966.093,1859.839,20731.077,22590.916,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,31.57894736842105,1,0.10602853043154843,0.02,3,0.8375503688258468
33,0.7041580677032471,17,1,0.5,200,200,1000,1,1,24,5013.257,7966.093,2952.836,0.0,7966.093,1859.839,20731.077,22590.916,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,33.68421052631579,1,0.10602853043154843,0.02,3,0.8375503688258468
22,3.056687593460083,11,2,0.5,200,200,1000,1,1,98,5013.257,23427.344,18414.087,0.0,23427.344,2083.095,100599.379,102682.474,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,21.052631578947366,1,0.10602853043154843,0.02,3,-0.542932449916512
35,0.676152229309082,18,1,0.5,200,200,1000,1,1,24,5013.257,7966.093,2952.836,0.0,7966.093,1859.839,20731.077,22590.916,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,35.78947368421053,1,0.10602853043154843,0.02,3,0.8375503688258468
