,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
4518,0.19904518127441406,23,140,0.5,100,100,5000,1,1,13,1772.454,2299.245,526.791,0.0,2299.245,188.106,402.446,590.552,0.6931471805599453%,42.0%,0%,0.0%,100.0%,0.6931471805599453%,54.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.028322736446601424
4522,0.1650383472442627,23,144,0.5,100,100,5000,1,1,10,1772.454,1931.408,158.954,0.0,1931.408,167.491,268.126,435.617,0.6931471805599453%,47.0%,0%,0.0%,100.0%,0.6931471805599453%,62.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.07021506051291737
4517,0.3360762596130371,23,139,0.5,100,100,5000,1,1,17,1772.454,2856.008,1083.554,0.0,2856.008,219.845,589.123,808.968,0.6931471805599453%,58.0%,0%,0.0%,100.0%,0.6931471805599453%,58.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.5395803854754833
4521,0.23105192184448242,23,143,0.5,100,100,5000,1,1,16,1772.454,2623.425,850.971,0.0,2623.425,200.159,500.986,701.145,0.6931471805599453%,38.0%,0%,0.0%,100.0%,0.6931471805599453%,52.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.33975428303872646
4523,0.2160487174987793,23,145,0.5,100,100,5000,1,1,14,1772.454,2608.576,836.122,0.0,2608.576,208.201,451.512,659.713,0.6931471805599453%,55.0%,0%,0.0%,100.0%,0.6931471805599453%,46.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.146327981197444
4520,0.26605987548828125,23,142,0.5,100,100,5000,1,1,17,1772.454,2781.86,1009.406,0.0,2781.86,209.076,574.985,784.061,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,54.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,1.152897149270173
4519,0.2810637950897217,23,141,0.5,100,100,5000,1,1,19,1772.454,3323.924,1551.47,0.0,3323.924,246.969,730.051,977.02,0.6931471805599453%,57.0%,0%,0.0%,100.0%,0.6931471805599453%,39.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.16351839030480575
4526,0.14103221893310547,23,148,0.5,100,100,5000,1,1,9,1772.454,1827.07,54.616,0.0,1827.07,168.702,230.328,399.03,0.6931471805599453%,51.0%,0%,0.0%,100.0%,0.6931471805599453%,59.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.9293152522008021
4524,0.2520565986633301,23,146,0.5,100,100,5000,1,1,16,1772.454,2507.288,734.834,0.0,2507.288,190.846,487.206,678.052,0.6931471805599453%,57.0%,0%,0.0%,100.0%,0.6931471805599453%,57.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.5448167936245913
4525,0.22305035591125488,23,147,0.5,100,100,5000,1,1,14,1772.454,1885.919,113.465,0.0,1885.919,158.28,367.853,526.133,0.6931471805599453%,56.0%,0%,0.0%,100.0%,0.6931471805599453%,40.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.16773708191593922
