,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory
730,0.7411668300628662,8,37,0.5,200,200,5000,1,1,23,5013.257,8416.199,3402.942,0.0,8416.199,1130.502,645.712,1776.214,0.6931471805599452%,47.0%,0%,0.0%,100.0%,0.6931471805599452%,51.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
736,0.41509413719177246,8,43,0.5,200,200,5000,1,1,12,5013.257,6331.403,1318.146,0.0,6331.403,1126.174,255.282,1381.456,0.6931471805599452%,52.5%,0%,0.0%,100.0%,0.6931471805599452%,51.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
734,0.5411224365234375,8,41,0.5,200,200,5000,1,1,16,5013.257,8856.123,3842.866,0.0,8856.123,1271.382,452.371,1723.753,0.6931471805599452%,51.5%,0%,0.0%,100.0%,0.6931471805599452%,52.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
739,0.3670821189880371,8,46,0.5,200,200,5000,1,1,11,5013.257,6462.453,1449.196,0.0,6462.453,1107.477,306.036,1413.513,0.6931471805599452%,52.5%,0%,0.0%,100.0%,0.6931471805599452%,47.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
735,0.6651496887207031,8,42,0.5,200,200,5000,1,1,20,5013.257,8672.747,3659.49,0.0,8672.747,1381.34,457.473,1838.813,0.6931471805599452%,52.5%,0%,0.0%,100.0%,0.6931471805599452%,47.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
738,0.5311188697814941,8,45,0.5,200,200,5000,1,1,16,5013.257,7566.225,2552.968,0.0,7566.225,1107.911,466.527,1574.438,0.6931471805599452%,48.0%,0%,0.0%,100.0%,0.6931471805599452%,51.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
737,0.6331417560577393,8,44,0.5,200,200,5000,1,1,20,5013.257,8665.542,3652.285,0.0,8665.542,1298.283,527.389,1825.672,0.6931471805599452%,53.0%,0%,0.0%,100.0%,0.6931471805599452%,43.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
740,0.5151152610778809,8,47,0.5,200,200,5000,1,1,16,5013.257,7995.299,2982.042,0.0,7995.299,1220.923,391.207,1612.13,0.6931471805599452%,56.0%,0%,0.0%,100.0%,0.6931471805599452%,57.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
741,0.5521240234375,8,48,0.5,200,200,5000,1,1,17,5013.257,9185.221,4171.964,0.0,9185.221,1686.063,405.648,2091.711,0.6931471805599452%,51.0%,0%,0.0%,100.0%,0.6931471805599452%,47.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
743,0.5081143379211426,8,50,0.5,200,200,5000,1,1,16,5013.257,7270.932,2257.675,0.0,7270.932,1039.636,407.27,1446.906,0.6931471805599452%,48.0%,0%,0.0%,100.0%,0.6931471805599452%,53.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
742,0.6171371936798096,8,49,0.5,200,200,5000,1,1,20,5013.257,9374.63,4361.373,0.0,9374.63,1300.547,543.893,1844.44,0.6931471805599452%,44.0%,0%,0.0%,100.0%,0.6931471805599452%,52.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
744,0.5461225509643555,8,51,0.5,200,200,5000,1,1,16,5013.257,8192.943,3179.686,0.0,8192.943,1233.095,445.007,1678.102,0.6931471805599452%,54.0%,0%,0.0%,100.0%,0.6931471805599452%,53.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
