,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated:  efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity
1,1.1685724258422852,1,0,0.1,50,1000,10000,1,1,2,321.363,213.327,-108.036,16.5,3519.9,3503.4,771.0,12074.05,12845.05,0.7732616875182227%,54.0%,54.0%,100.0%,0.0%,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%
6,1.1899549961090088,2,0,0.1,53,1000,10000,1,1,3,351.255,973.625,622.37,4.8,4673.4,4668.6,992.0,17263.8,18255.8,0.8038277252540716%,50.943%,50.943%,100.0%,0.0%,0.6906201780842602%,62.264%,62.264%,100.0%,0.0%
7,1.2833530902862549,2,1,0.1,53,1000,10000,1,1,2,351.255,17.504,-333.751,323.4,5660.8,5337.4,953.0,20174.9,21127.9,0.8792994233672792%,43.396%,43.396%,100.0%,0.0%,0.7849598007257698%,52.83%,52.83%,100.0%,0.0%
4,1.302980661392212,1,3,0.1,50,1000,10000,1,1,3,321.363,53.382,-267.981,98.4,5252.8,5154.4,1067.0,20914.0,21981.0,0.8332616875182226%,48.0%,48.0%,100.0%,0.0%,0.7332616875182226%,58.0%,58.0%,100.0%,0.0%
%
8,1.3143608570098877,2,2,0.1,53,1000,10000,1,1,2,351.255,55.065,-296.19,83.5,4597.9,4514.4,930.0,15461.3,16391.3,0.6906201780842602%,62.264%,62.264%,100.0%,0.0%,0.8415635743106754%,47.17%,47.17%,100.0%,0.0%
2,1.3516135215759277,1,1,0.1,50,1000,10000,1,1,2,321.363,209.845,-111.518,16.8,3525.4,3508.6,797.0,11487.4,12284.4,0.7732616875182227%,54.0%,54.0%,100.0%,0.0%,0.8732616875182226%,44.0%,44.0%,100.0%,0.0%
9,1.270230770111084,2,3,0.1,53,1000,10000,1,1,3,351.255,376.858,25.603,15.5,5841.3,5825.8,1187.0,18527.75,19714.75,0.8604314988389773%,45.283%,45.283%,100.0%,0.0%,0.8226956497823735%,49.057%,49.057%,100.0%,0.0%
3,1.37962007522583,1,2,0.1,50,1000,10000,1,1,3,321.363,17.28,-304.083,388.9,6720.3,6331.4,1194.0,22543.85,23737.85,0.7732616875182227%,54.0%,54.0%,100.0%,0.0%,0.8932616875182227%,42.0%,42.0%,100.0%,0.0%
11,1.1762654781341553,3,0,0.1,57,1000,10000,1,1,3,392.568,2644.238,2251.67,2.1,5552.9,5550.8,1070.0,20466.9,21536.9,0.839577476991907%,47.368%,47.368%,100.0%,0.0%,0.7167704594480473%,59.649%,59.649%,100.0%,0.0%
10,1.235278844833374,2,4,0.1,53,1000,10000,1,1,4,351.255,85.975,-265.28,73.2,6293.4,6220.2,1219.0,28742.3,29961.3,0.747223951669166%,56.604%,56.604%,100.0%,0.0%,0.8792994233672792%,43.396%,43.396%,100.0%,0.0%
12,1.1562614440917969,3,1,0.1,57,1000,10000,1,1,2,392.568,24.086,-368.482,214.7,5171.3,4956.6,1017.0,16573.65,17590.65,0.8220336173427842%,49.123%,49.123%,100.0%,0.0%,0.8044897576936614%,50.877%,50.877%,100.0%,0.0%
14,1.1552605628967285,3,3,0.1,57,1000,10000,1,1,2,392.568,69.926,-322.642,68.5,4789.9,4721.4,881.0,16738.65,17619.65,0.8044897576936613%,50.877%,50.877%,100.0%,0.0%,0.8220336173427841%,49.123%,49.123%,100.0%,0.0%
15,1.1972682476043701,3,4,0.1,57,1000,10000,1,1,3,392.568,75.049,-317.519,69.4,5208.4,5139.0,1053.0,19136.3,20189.3,0.6816827401498017%,63.158%,63.158%,100.0%,0.0%,0.6816827401498018%,63.158%,63.158%,100.0%,0.0%
13,1.2772889137268066,3,2,0.1,57,1000,10000,1,1,3,392.568,192.394,-200.174,20.8,4001.8,3981.0,878.0,16412.45,17290.45,0.8922090559392755%,42.105%,42.105%,100.0%,0.0%,0.7167704594480474%,59.649%,59.649%,100.0%,0.0%
17,1.2302765846252441,4,1,0.1,61,1000,10000,1,1,3,435.504,29.215,-406.289,251.1,7335.9,7084.8,1247.0,30859.8,32106.8,0.7230977530919931%,59.016%,59.016%,100.0%,0.0%,0.8050649662067472%,50.82%,50.82%,100.0%,0.0%
16,1.2922947406768799,4,0,0.1,61,1000,10000,1,1,3,435.504,13.943,-421.561,466.1,6498.7,6032.6,1099.0,27439.5,28538.5,0.8378518514526487%,47.541%,47.541%,100.0%,0.0%,0.7558846383378947%,55.738%,55.738%,100.0%,0.0%
18,1.2952933311462402,4,2,0.1,61,1000,10000,1,1,3,435.504,73.446,-362.058,95.6,7021.4,6925.8,1157.0,27441.2,28598.2,0.8050649662067472%,50.82%,50.82%,100.0%,0.0%,0.821458408829698%,49.18%,49.18%,100.0%,0.0%
20,1.0462360382080078,4,4,0.1,61,1000,10000,1,1,3,435.504,43.098,-392.406,132.2,5697.6,5565.4,1094.0,20859.95,21953.95,0.7558846383378948%,55.738%,55.738%,100.0%,0.0%,0.9526059498133046%,36.066%,36.066%,100.0%,0.0%
19,1.0932495594024658,4,3,0.1,61,1000,10000,1,1,2,435.504,27.895,-407.609,216.9,6050.5,5833.6,966.0,21771.05,22737.05,0.8050649662067472%,50.82%,50.82%,100.0%,0.0%,0.837851851452649%,47.541%,47.541%,100.0%,0.0%
21,1.0902469158172607,5,0,0.1,65,1000,10000,1,1,3,480.025,87.83,-392.195,78.6,6903.4,6824.8,1127.0,29961.35,31088.35,0.8363386105951458%,47.692%,47.692%,100.0%,0.0%,0.8363386105951458%,47.692%,47.692%,100.0%,0.0%
22,1.1692636013031006,5,1,0.1,65,1000,10000,1,1,3,480.025,34.796,-445.229,228.2,7940.4,7712.2,1223.0,33279.75,34502.75,0.8517232259797612%,46.154%,46.154%,100.0%,0.0%,0.8209539952105305%,49.231%,49.231%,100.0%,0.0%
23,1.1182529926300049,5,2,0.1,65,1000,10000,1,1,3,480.025,22.656,-457.369,265.2,6008.4,5743.2,1149.0,21348.05,22497.05,0.7901847644412997%,52.308%,52.308%,100.0%,0.0%,0.805569379825915%,50.769%,50.769%,100.0%,0.0%
25,1.1172518730163574,5,4,0.1,65,1000,10000,1,1,3,480.025,24.588,-455.437,241.5,5938.1,5696.6,1183.0,24217.9,25400.9,0.9132616875182228%,40.0%,40.0%,100.0%,0.0%,0.805569379825915%,50.769%,50.769%,100.0%,0.0%
24,1.1392571926116943,5,3,0.1,65,1000,10000,1,1,3,480.025,131.074,-348.951,32.5,4259.9,4227.4,867.0,18542.45,19409.45,0.8209539952105304%,49.231%,49.231%,100.0%,0.0%,0.7286463029028382%,58.462%,58.462%,100.0%,0.0%
26,1.2009656429290771,6,0,0.1,69,1000,10000,1,1,4,526.098,2254.484,1728.386,3.1,6988.9,6985.8,1369.0,28515.45,29884.45,0.8494935715761937%,46.377%,46.377%,100.0%,0.0%,0.7335515425906864%,57.971%,57.971%,100.0%,0.0%
27,1.2113943099975586,6,1,0.1,69,1000,10000,1,1,3,526.098,25.028,-501.07,241.4,6041.8,5800.4,1079.0,26226.25,27305.25,0.8350008179530052%,47.826%,47.826%,100.0%,0.0%,0.7915225570834401%,52.174%,52.174%,100.0%,0.0%
29,0.957080602645874,6,3,0.1,69,1000,10000,1,1,2,526.098,80.643,-445.455,89.1,7185.3,7096.2,1133.0,24051.95,25184.95,0.7625370498370633%,55.072%,55.072%,100.0%,0.0%,0.8639863251993821%,44.928%,44.928%,100.0%,0.0%
28,1.1741299629211426,6,2,0.1,69,1000,10000,1,1,3,526.098,18.375,-507.723,472.0,8673.2,8201.2,1299.0,35151.0,36450.0,0.8494935715761937%,46.377%,46.377%,100.0%,0.0%,0.6755805280979328%,63.768%,63.768%,100.0%,0.0%
30,1.1141152381896973,6,4,0.1,69,1000,10000,1,1,3,526.098,179.713,-346.385,48.5,8716.1,8667.6,1277.0,39077.65,40354.65,0.8060153107066285%,50.725%,50.725%,100.0%,0.0%,0.8784790788225705%,43.478%,43.478%,100.0%,0.0%
32,1.1291182041168213,7,1,0.1,73,1000,10000,1,1,3,573.69,109.241,-464.449,82.9,9056.1,8973.2,1352.0,35126.3,36478.3,0.8338096327237022%,47.945%,47.945%,100.0%,0.0%,0.8475082628606885%,46.575%,46.575%,100.0%,0.0%
31,1.213137149810791,7,0,0.1,73,1000,10000,1,1,4,573.69,73.035,-500.655,101.8,7435.0,7333.2,1352.0,35960.35,37312.35,0.8475082628606885%,46.575%,46.575%,100.0%,0.0%,0.7927137423127433%,52.055%,52.055%,100.0%,0.0%
34,1.1501233577728271,7,3,0.1,73,1000,10000,1,1,4,573.69,142.046,-431.644,68.1,9673.3,9605.2,1443.0,48827.65,50270.65,0.7516178519017844%,56.164%,56.164%,100.0%,0.0%,0.8338096327237022%,47.945%,47.945%,100.0%,0.0%
33,1.1841316223144531,7,2,0.1,73,1000,10000,1,1,3,573.69,24.732,-548.958,327.2,8092.4,7765.2,1274.0,30681.6,31955.6,0.8201110025867159%,49.315%,49.315%,100.0%,0.0%,0.8475082628606885%,46.575%,46.575%,100.0%,0.0%
35,1.0994834899902344,7,4,0.1,73,1000,10000,1,1,3,573.69,56.882,-516.808,111.6,6348.0,6236.4,1186.0,26725.6,27911.6,0.8338096327237022%,47.945%,47.945%,100.0%,0.0%,0.8612068929976748%,45.205%,45.205%,100.0%,0.0%
36,1.0974817276000977,8,0,0.1,77,1000,10000,1,1,4,622.776,19.402,-603.374,402.1,7801.7,7399.6,1359.0,34773.05,36132.05,0.8067681810247161%,50.649%,50.649%,100.0%,0.0%,0.8327422069987421%,48.052%,48.052%,100.0%,0.0%
37,1.024228811264038,8,1,0.1,77,1000,10000,1,1,3,622.776,43.507,-579.269,163.4,7109.0,6945.6,1309.0,22452.05,23761.05,0.7418331160896512%,57.143%,57.143%,100.0%,0.0%,0.8457292199857551%,46.753%,46.753%,100.0%,0.0%
38,1.1072502136230469,8,2,0.1,77,1000,10000,1,1,6,622.776,15.501,-607.275,698.0,10820.0,10122.0,1847.0,65851.65,67698.65,0.7548201290766641%,55.844%,55.844%,100.0%,0.0%,0.8327422069987421%,48.052%,48.052%,100.0%,0.0%
39,1.1142518520355225,8,3,0.1,77,1000,10000,1,1,5,622.776,34.129,-588.647,268.0,9146.6,8878.6,1488.0,51925.65,53413.65,0.8067681810247161%,50.649%,50.649%,100.0%,0.0%,0.8327422069987421%,48.052%,48.052%,100.0%,0.0%
40,1.0932486057281494,8,4,0.1,77,1000,10000,1,1,3,622.776,64.341,-558.435,130.5,8396.5,8266.0,1282.0,32452.6,33734.6,0.8846902589467941%,42.857%,42.857%,100.0%,0.0%,0.7937811680377032%,51.948%,51.948%,100.0%,0.0%
41,1.1302578449249268,9,0,0.1,81,1000,10000,1,1,3,673.329,6315.933,5642.604,1.5,9473.9,9472.4,1379.0,37537.45,38916.45,0.7700518109750129%,54.321%,54.321%,100.0%,0.0%,0.7577061319626672%,55.556%,55.556%,100.0%,0.0%
43,1.0912487506866455,9,2,0.1,81,1000,10000,1,1,3,673.329,18.095,-655.234,581.8,10527.8,9946.0,1391.0,46017.2,47408.2,0.8194345270243956%,49.383%,49.383%,100.0%,0.0%,0.8194345270243956%,49.383%,49.383%,100.0%,0.0%
42,1.1202518939971924,9,1,0.1,81,1000,10000,1,1,4,673.329,44.024,-629.305,181.2,7977.2,7796.0,1428.0,36818.6,38246.6,0.8441258850490869%,46.914%,46.914%,100.0%,0.0%,0.8317802060367413%,48.148%,48.148%,100.0%,0.0%
44,1.1112520694732666,9,3,0.1,81,1000,10000,1,1,7,673.329,19.017,-654.312,524.5,9974.5,9450.0,1872.0,72978.2,74850.2,0.8935086010984696%,41.975%,41.975%,100.0%,0.0%,0.8564715640614327%,45.679%,45.679%,100.0%,0.0%
45,1.176262617111206,9,4,0.1,81,1000,10000,1,1,3,673.329,39.27,-634.059,236.1,9271.7,9035.6,1329.0,36036.25,37365.25,0.8194345270243956%,49.383%,49.383%,100.0%,0.0%,0.7083234159132845%,60.494%,60.494%,100.0%,0.0%
46,0.9742209911346436,10,0,0.1,84,1000,10000,1,1,2,712.194,65.351,-646.843,136.0,8887.8,8751.8,1216.0,29834.9,31050.9,0.8727854970420322%,44.048%,44.048%,100.0%,0.0%,0.8608807351372703%,45.238%,45.238%,100.0%,0.0%
47,1.0392355918884277,10,1,0.1,84,1000,10000,1,1,3,712.194,36.276,-675.918,223.6,8111.4,7887.8,1210.0,34874.45,36084.45,0.8489759732325084%,46.429%,46.429%,100.0%,0.0%,0.8608807351372703%,45.238%,45.238%,100.0%,0.0%
48,1.0612399578094482,10,2,0.1,84,1000,10000,1,1,3,712.194,26.405,-685.789,350.4,9252.2,8901.8,1407.0,34485.1,35892.1,0.8251664494229846%,48.81%,48.81%,100.0%,0.0%,0.8370712113277465%,47.619%,47.619%,100.0%,0.0%
49,1.14625883102417,10,3,0.1,84,1000,10000,1,1,4,712.194,59.329,-652.865,186.7,11076.7,10890.0,1642.0,46244.55,47886.55,0.7061188303753655%,60.714%,60.714%,100.0%,0.0%,0.9084997827563179%,40.476%,40.476%,100.0%,0.0%
51,1.0892446041107178,11,0,0.1,88,1000,10000,1,1,2,765.264,28.109,-737.155,276.4,7769.4,7493.0,1132.0,26634.2,27766.2,0.8246253238818592%,48.864%,48.864%,100.0%,0.0%,0.7337162329727682%,57.955%,57.955%,100.0%,0.0%
50,1.151258945465088,10,4,0.1,84,1000,10000,1,1,5,712.194,36.882,-675.312,275.8,10172.0,9896.2,1513.0,60865.05,62378.05,0.7894521637086989%,52.381%,52.381%,100.0%,0.0%,0.8370712113277465%,47.619%,47.619%,100.0%,0.0%
52,1.1472594738006592,11,1,0.1,88,1000,10000,1,1,3,765.264,52.587,-712.677,229.9,12089.7,11859.8,1490.0,48556.55,50046.55,0.7337162329727682%,57.955%,57.955%,100.0%,0.0%,0.7450798693364046%,56.818%,56.818%,100.0%,0.0%
53,1.174410104751587,11,2,0.1,88,1000,10000,1,1,4,765.264,25.414,-739.85,416.2,10577.4,10161.2,1629.0,48526.5,50155.5,0.7337162329727682%,57.955%,57.955%,100.0%,0.0%,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%
54,1.1193974018096924,11,3,0.1,88,1000,10000,1,1,3,765.264,460.182,-305.082,20.3,9341.7,9321.4,1346.0,37819.75,39165.75,0.8473525966091319%,46.591%,46.591%,100.0%,0.0%,0.9041707784273136%,40.909%,40.909%,100.0%,0.0%
55,1.0315561294555664,11,4,0.1,88,1000,10000,1,1,4,765.264,280.495,-484.769,32.1,9003.9,8971.8,1388.0,41501.5,42889.5,0.7564435057000409%,55.682%,55.682%,100.0%,0.0%,0.91553441479095%,39.773%,39.773%,100.0%,0.0%
56,1.018550157546997,12,0,0.1,92,1000,10000,1,1,3,819.744,20.189,-799.555,441.3,8909.5,8468.2,1412.0,33064.6,34476.6,0.8893486440399618%,42.391%,42.391%,100.0%,0.0%,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%
57,1.0518498420715332,12,1,0.1,92,1000,10000,1,1,3,819.744,23.33,-796.414,469.9,10962.7,10492.8,1391.0,41167.05,42558.05,0.7697834266486574%,54.348%,54.348%,100.0%,0.0%,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%
58,1.0928575992584229,12,2,0.1,92,1000,10000,1,1,3,819.744,26.278,-793.466,430.3,11307.5,10877.2,1563.0,45815.8,47378.8,0.8458703831703965%,46.739%,46.739%,100.0%,0.0%,0.8458703831703965%,46.739%,46.739%,100.0%,0.0%
60,1.135868787765503,12,4,0.1,92,1000,10000,1,1,3,819.744,38.98,-780.764,276.7,10785.7,10509.0,1347.0,45159.8,46506.8,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7697834266486574%,54.348%,54.348%,100.0%,0.0%
61,1.1887385845184326,13,0,0.1,96,1000,10000,1,1,4,875.618,16.836,-858.782,629.4,10596.8,9967.4,1526.0,53442.55,54968.55,0.9070116875182227%,40.625%,40.625%,100.0%,0.0%,0.8340950208515561%,47.917%,47.917%,100.0%,0.0%
59,1.2779028415679932,12,3,0.1,92,1000,10000,1,1,7,819.744,231.795,-587.949,50.3,11659.3,11609.0,1952.0,84266.2,86218.2,0.8676095136051792%,44.565%,44.565%,100.0%,0.0%,0.8676095136051792%,44.565%,44.565%,100.0%,0.0%
62,1.1477265357971191,13,1,0.1,96,1000,10000,1,1,3,875.618,24.026,-851.592,454.4,10917.4,10463.0,1471.0,40538.95,42009.95,0.8236783541848894%,48.958%,48.958%,100.0%,0.0%,0.7715950208515561%,54.167%,54.167%,100.0%,0.0%
63,1.19573974609375,13,2,0.1,96,1000,10000,1,1,7,875.618,13.743,-861.875,1165.6,16018.4,14852.8,2383.0,113543.2,115926.2,0.8340950208515561%,47.917%,47.917%,100.0%,0.0%,0.6153450208515561%,69.792%,69.792%,100.0%,0.0%
64,1.0794835090637207,13,3,0.1,96,1000,10000,1,1,3,875.618,88.527,-787.091,115.5,10224.9,10109.4,1447.0,41324.5,42771.5,0.7507616875182227%,56.25%,56.25%,100.0%,0.0%,0.8653450208515561%,44.792%,44.792%,100.0%,0.0%
65,1.1028189659118652,13,4,0.1,96,1000,10000,1,1,3,875.618,74.823,-800.795,161.4,12076.4,11915.0,1493.0,48864.25,50357.25,0.8653450208515561%,44.792%,44.792%,100.0%,0.0%,0.7299283541848894%,58.333%,58.333%,100.0%,0.0%
66,1.0548088550567627,14,0,0.1,100,1000,10000,1,1,3,932.87,215.21,-717.66,54.4,11707.4,11653.0,1686.0,41724.0,43410.0,0.7832616875182227%,53.0%,53.0%,100.0%,0.0%,0.8632616875182226%,45.0%,45.0%,100.0%,0.0%
67,1.1678392887115479,14,1,0.1,100,1000,10000,1,1,3,932.87,175.349,-757.521,74.5,13063.5,12989.0,1521.0,52670.1,54191.1,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8632616875182226%,45.0%,45.0%,100.0%,0.0%
68,1.1459648609161377,14,2,0.1,100,1000,10000,1,1,3,932.87,27.086,-905.784,400.2,10840.0,10439.8,1442.0,44559.35,46001.35,0.8632616875182226%,45.0%,45.0%,100.0%,0.0%,0.8432616875182226%,47.0%,47.0%,100.0%,0.0%
69,1.2349867820739746,14,3,0.1,100,1000,10000,1,1,4,932.87,102.642,-830.228,154.0,15806.8,15652.8,1902.0,71534.7,73436.7,0.7732616875182227%,54.0%,54.0%,100.0%,0.0%,0.8432616875182226%,47.0%,47.0%,100.0%,0.0%
70,1.2089815139770508,14,4,0.1,100,1000,10000,1,1,3,932.87,66.521,-866.349,168.2,11188.8,11020.6,1534.0,46285.2,47819.2,0.7732616875182227%,54.0%,54.0%,100.0%,0.0%,0.8232616875182227%,49.0%,49.0%,100.0%,0.0%
71,1.2249844074249268,15,0,0.1,104,1000,10000,1,1,4,991.486,73.837,-917.649,134.1,9901.5,9767.4,1483.0,46137.05,47620.05,0.8421078413643766%,47.115%,47.115%,100.0%,0.0%,0.8421078413643766%,47.115%,47.115%,100.0%,0.0%
72,1.2354230880737305,15,1,0.1,104,1000,10000,1,1,5,991.486,17.965,-973.521,779.8,14009.2,13229.4,1794.0,76225.35,78019.35,0.832492456748992%,48.077%,48.077%,100.0%,0.0%,0.707492456748992%,60.577%,60.577%,100.0%,0.0%
73,1.173124074935913,15,2,0.1,104,1000,10000,1,1,2,991.486,194.437,-797.049,63.6,12366.2,12302.6,1413.0,38239.85,39652.85,0.8613386105951458%,45.192%,45.192%,100.0%,0.0%,0.8421078413643766%,47.115%,47.115%,100.0%,0.0%
74,1.0433733463287354,15,3,0.1,104,1000,10000,1,1,3,991.486,399.747,-591.739,39.1,15630.1,15591.0,1829.0,49818.75,51647.75,0.7844155336720688%,52.885%,52.885%,100.0%,0.0%,0.755569379825915%,55.769%,55.769%,100.0%,0.0%
75,1.1482152938842773,15,4,0.1,104,1000,10000,1,1,5,991.486,29.084,-962.402,452.3,13154.9,12702.6,1755.0,64714.45,66469.45,0.8517232259797611%,46.154%,46.154%,100.0%,0.0%,0.7748001490566843%,53.846%,53.846%,100.0%,0.0%
76,1.0846853256225586,16,0,0.1,108,1000,10000,1,1,3,1051.452,191.509,-859.943,57.8,11069.2,11011.4,1497.0,43889.2,45386.2,0.859557983814519%,45.37%,45.37%,100.0%,0.0%,0.859557983814519%,45.37%,45.37%,100.0%,0.0%
77,1.1175568103790283,16,1,0.1,108,1000,10000,1,1,4,1051.452,21.305,-1030.147,680.5,14498.1,13817.6,1666.0,67595.6,69261.6,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7854839097404449%,52.778%,52.778%,100.0%,0.0%
78,1.2015748023986816,16,2,0.1,108,1000,10000,1,1,4,1051.452,104.496,-946.956,128.3,13406.9,13278.6,1718.0,65351.45,67069.45,0.7762246504811856%,53.704%,53.704%,100.0%,0.0%,0.7669653912219263%,54.63%,54.63%,100.0%,0.0%
79,1.3145997524261475,16,3,0.1,108,1000,10000,1,1,6,1051.452,46.276,-1005.176,323.4,14965.8,14642.4,2128.0,89607.95,91735.95,0.8410394652960004%,47.222%,47.222%,100.0%,0.0%,0.7854839097404449%,52.778%,52.778%,100.0%,0.0%
80,1.2535839080810547,16,4,0.1,108,1000,10000,1,1,4,1051.452,58.761,-992.691,275.1,16165.1,15890.0,2016.0,69437.8,71453.8,0.8688172430737782%,44.444%,44.444%,100.0%,0.0%,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%
81,1.2485837936401367,17,0,0.1,112,1000,10000,1,1,3,1112.756,121.401,-991.355,106.2,12892.8,12786.6,1393.0,55760.25,57153.25,0.840047401803937%,47.321%,47.321%,100.0%,0.0%,0.902547401803937%,41.071%,41.071%,100.0%,0.0%
82,1.2555856704711914,17,1,0.1,112,1000,10000,1,1,3,1112.756,68.793,-1043.963,218.6,15038.2,14819.6,1812.0,54957.85,56769.85,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8221902589467941%,49.107%,49.107%,100.0%,0.0%
83,1.131556749343872,17,2,0.1,112,1000,10000,1,1,4,1112.756,16.496,-1096.26,837.8,13820.4,12982.6,1716.0,64756.8,66472.8,0.8221902589467941%,49.107%,49.107%,100.0%,0.0%,0.7954045446610799%,51.786%,51.786%,100.0%,0.0%
84,1.1097314357757568,17,3,0.1,112,1000,10000,1,1,3,1112.756,58.584,-1054.172,255.7,14979.9,14724.2,1750.0,60682.1,62432.1,0.8579045446610799%,45.536%,45.536%,100.0%,0.0%,0.7596902589467941%,55.357%,55.357%,100.0%,0.0%
85,1.194270133972168,17,4,0.1,112,1000,10000,1,1,4,1112.756,26.635,-1086.121,500.2,13323.0,12822.8,1624.0,63345.4,64969.4,0.8579045446610799%,45.536%,45.536%,100.0%,0.0%,0.8043331160896513%,50.893%,50.893%,100.0%,0.0%
86,1.151259422302246,18,0,0.1,116,1000,10000,1,1,8,1175.387,25.609,-1149.778,583.5,14942.7,14359.2,2447.0,105568.45,108015.45,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8046409978630502%,50.862%,50.862%,100.0%,0.0%
87,1.135256290435791,18,1,0.1,116,1000,10000,1,1,4,1175.387,23.817,-1151.57,637.5,15183.5,14546.0,1766.0,71730.55,73496.55,0.8391237564837399%,47.414%,47.414%,100.0%,0.0%,0.8477444461389123%,46.552%,46.552%,100.0%,0.0%
88,1.1762652397155762,18,2,0.1,116,1000,10000,1,1,5,1175.387,55.373,-1120.014,264.6,14651.6,14387.0,1914.0,67603.95,69517.95,0.8391237564837399%,47.414%,47.414%,100.0%,0.0%,0.778778928897533%,53.448%,53.448%,100.0%,0.0%
91,1.0922460556030273,19,0,0.1,119,1000,10000,1,1,3,1223.226,30.893,-1192.333,443.6,13704.0,13260.4,1698.0,54950.0,56648.0,0.8342700908795672%,47.899%,47.899%,100.0%,0.0%,0.792253284156878%,52.101%,52.101%,100.0%,0.0%
89,1.237278699874878,18,3,0.1,116,1000,10000,1,1,4,1175.387,67.7,-1107.687,237.5,16078.7,15841.2,1887.0,71052.1,72939.1,0.8305030668285676%,48.276%,48.276%,100.0%,0.0%,0.7873996185527055%,52.586%,52.586%,100.0%,0.0%
90,1.189267873764038,18,4,0.1,116,1000,10000,1,1,4,1175.387,85.25,-1090.137,176.6,15055.2,14878.6,1716.0,71934.85,73650.85,0.7356754806216709%,57.759%,57.759%,100.0%,0.0%,0.7701582392423606%,54.31%,54.31%,100.0%,0.0%
92,1.134258508682251,19,1,0.1,119,1000,10000,1,1,4,1223.226,34.755,-1188.471,465.2,16168.2,15703.0,1876.0,74108.75,75984.75,0.8762868976022562%,43.697%,43.697%,100.0%,0.0%,0.7166230320560377%,59.664%,59.664%,100.0%,0.0%
93,1.0565524101257324,19,2,0.1,119,1000,10000,1,1,3,1223.226,36.024,-1187.202,452.8,16311.6,15858.8,1791.0,60041.75,61832.75,0.792253284156878%,52.101%,52.101%,100.0%,0.0%,0.8006566455014159%,51.261%,51.261%,100.0%,0.0%
94,1.034184217453003,19,3,0.1,119,1000,10000,1,1,3,1223.226,76.916,-1146.31,182.3,14021.7,13839.4,1728.0,50374.3,52102.3,0.8510768135686428%,46.218%,46.218%,100.0%,0.0%,0.9014969816358697%,41.176%,41.176%,100.0%,0.0%
95,1.1602368354797363,19,4,0.1,119,1000,10000,1,1,6,1223.226,81.097,-1142.129,183.6,14889.4,14705.8,2075.0,87147.1,89222.1,0.8594801749131806%,45.378%,45.378%,100.0%,0.0%,0.750236477434189%,56.303%,56.303%,100.0%,0.0%
96,1.054309606552124,20,0,0.1,123,1000,10000,1,1,3,1288.156,65.165,-1222.991,216.4,14101.6,13885.2,1684.0,53766.0,55450.0,0.8254568094694422%,48.78%,48.78%,100.0%,0.0%,0.7929364842661901%,52.033%,52.033%,100.0%,0.0%
97,1.1194031238555908,20,1,0.1,123,1000,10000,1,1,4,1288.156,40.391,-1247.765,403.6,16302.0,15898.4,1938.0,69101.9,71039.9,0.8173267281686292%,49.593%,49.593%,100.0%,0.0%,0.7929364842661901%,52.033%,52.033%,100.0%,0.0%
98,1.0963079929351807,20,2,0.1,123,1000,10000,1,1,3,1288.156,29.748,-1258.408,555.4,16522.0,15966.6,1879.0,60427.6,62306.6,0.8742372972743202%,43.902%,43.902%,100.0%,0.0%,0.8661072159735073%,44.715%,44.715%,100.0%,0.0%
99,1.1323292255401611,20,3,0.1,123,1000,10000,1,1,3,1288.156,108.138,-1180.018,140.8,15225.8,15085.0,1679.0,60384.8,62063.8,0.8173267281686292%,49.593%,49.593%,100.0%,0.0%,0.8661072159735073%,44.715%,44.715%,100.0%,0.0%
100,1.1772091388702393,20,4,0.1,123,1000,10000,1,1,4,1288.156,211.423,-1076.733,78.5,16596.7,16518.2,1875.0,71279.6,73154.6,0.7604161590629381%,55.285%,55.285%,100.0%,0.0%,0.7766763216645641%,53.659%,53.659%,100.0%,0.0%
101,1.1586027145385742,21,0,0.1,127,1000,10000,1,1,4,1354.387,53.485,-1300.902,252.7,13515.7,13263.0,1673.0,64143.5,65816.5,0.8408207426363329%,47.244%,47.244%,100.0%,0.0%,0.7699546009040493%,54.331%,54.331%,100.0%,0.0%
102,1.145263910293579,21,1,0.1,127,1000,10000,1,1,4,1354.387,207.902,-1146.485,89.1,18524.1,18435.0,1903.0,80626.5,82529.5,0.8408207426363329%,47.244%,47.244%,100.0%,0.0%,0.8093246796442068%,50.394%,50.394%,100.0%,0.0%
