,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated:  efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity
667,2.8890130519866943,134,1,0.1,567,1000,10000,1,1,17,16699.495,203.64,-16495.855,537.7,109497.1,108959.4,6958.0,811444.1,818402.1,0.8317802060367414%,48.148%,48.148%,100.0%,0.0%,0.7823974899873586%,53.086%,53.086%,100.0%,0.0%
668,2.660475730895996,134,2,0.1,567,1000,10000,1,1,16,16699.495,604.585,-16094.91,131.7,79623.9,79492.2,5675.0,672368.0,678043.0,0.7753428162660183%,53.792%,53.792%,100.0%,0.0%,0.8211981954547308%,49.206%,49.206%,100.0%,0.0%
674,2.2966346740722656,135,3,0.1,570,1000,10000,1,1,13,16867.518,41.159,-16826.359,2156.2,88747.6,86591.4,5862.0,563839.65,569701.65,0.8641388805006789%,44.912%,44.912%,100.0%,0.0%,0.7974722138340122%,51.579%,51.579%,100.0%,0.0%
676,1.5859956741333008,136,0,0.1,574,1000,10000,1,1,6,17093.195,321.917,-16771.278,279.3,89911.3,89632.0,4202.0,318817.75,323019.75,0.8428784122568987%,47.038%,47.038%,100.0%,0.0%,0.7923557641732751%,52.091%,52.091%,100.0%,0.0%
675,1.9422097206115723,135,4,0.1,570,1000,10000,1,1,10,16867.518,81.06,-16786.458,1150.8,93284.4,92133.6,5238.0,454508.15,459746.15,0.8167704594480473%,49.649%,49.649%,100.0%,0.0%,0.8115073015533105%,50.175%,50.175%,100.0%,0.0%
669,3.689066171646118,134,3,0.1,567,1000,10000,1,1,27,16699.495,226.304,-16473.191,408.0,92332.2,91924.2,8407.0,1167763.1,1176170.1,0.7965068374300395%,51.675%,51.675%,100.0%,0.0%,0.789452163708699%,52.381%,52.381%,100.0%,0.0%
679,1.9467074871063232,136,3,0.1,574,1000,10000,1,1,9,17093.195,85.956,-17007.239,1225.2,105313.0,104087.8,5204.0,463063.45,468267.45,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.787129283337038%,52.613%,52.613%,100.0%,0.0%
681,1.7052216529846191,137,0,0.1,578,1000,10000,1,1,7,17320.766,799.78,-16520.986,119.5,95573.7,95454.2,4682.0,357232.4,361914.4,0.7803897151998836%,53.287%,53.287%,100.0%,0.0%,0.7855800266185687%,52.768%,52.768%,100.0%,0.0%
677,2.7321605682373047,136,1,0.1,574,1000,10000,1,1,16,17093.195,332.817,-16760.378,272.3,90626.1,90353.8,6664.0,708371.05,715035.05,0.7871292833370381%,52.613%,52.613%,100.0%,0.0%,0.7923557641732751%,52.091%,52.091%,100.0%,0.0%
682,1.752805233001709,137,1,0.1,578,1000,10000,1,1,7,17320.766,424.734,-16896.032,225.8,95905.0,95679.2,4914.0,339327.8,344241.8,0.8219122065493646%,49.135%,49.135%,100.0%,0.0%,0.8028810646808525%,51.038%,51.038%,100.0%,0.0%
