,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
189,0.36408209800720215,63,2,0.2,250,250,1000,1,1,9,7006.239,1443.037,-5563.202,298.0,1741.037,1443.037,0.0,528.985,528.985,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,25.05087878787879,0.1
190,0.4701058864593506,64,0,0.2,250,250,1000,1,1,12,7006.239,1891.636,-5114.603,301.2,2192.836,1891.636,0.0,698.673,698.673,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,25.454909090909094,0.1
192,0.3690836429595947,64,2,0.2,250,250,1000,1,1,9,7006.239,1443.037,-5563.202,298.0,1741.037,1443.037,0.0,528.985,528.985,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,25.454909090909094,0.1
185,0.7591705322265625,62,1,0.2,250,250,1000,1,1,21,7006.239,2775.724,-4230.515,299.6,3075.324,2775.724,0.0,1337.487,1337.487,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,24.646848484848487,0.1
188,0.7211616039276123,63,1,0.2,250,250,1000,1,1,21,7006.239,2775.724,-4230.515,299.6,3075.324,2775.724,0.0,1337.487,1337.487,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,25.05087878787879,0.1
193,0.46210503578186035,65,0,0.2,250,250,1000,1,1,12,7006.239,1891.636,-5114.603,301.2,2192.836,1891.636,0.0,698.673,698.673,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,25.858939393939398,0.1
195,0.38408613204956055,65,2,0.2,250,250,1000,1,1,9,7006.239,1443.037,-5563.202,298.0,1741.037,1443.037,0.0,528.985,528.985,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,25.858939393939398,0.1
196,0.46010351181030273,66,0,0.2,250,250,1000,1,1,12,7006.239,1891.636,-5114.603,301.2,2192.836,1891.636,0.0,698.673,698.673,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,26.2629696969697,0.1
198,0.3470780849456787,66,2,0.2,250,250,1000,1,1,9,7006.239,1443.037,-5563.202,298.0,1741.037,1443.037,0.0,528.985,528.985,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,26.2629696969697,0.1
191,0.7561707496643066,64,1,0.2,250,250,1000,1,1,21,7006.239,2775.724,-4230.515,299.6,3075.324,2775.724,0.0,1337.487,1337.487,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,25.454909090909094,0.1
199,0.45110154151916504,67,0,0.2,250,250,1000,1,1,12,7006.239,1891.636,-5114.603,301.2,2192.836,1891.636,0.0,698.673,698.673,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,26.667000000000005,0.1
194,0.7431671619415283,65,1,0.2,250,250,1000,1,1,21,7006.239,2775.724,-4230.515,299.6,3075.324,2775.724,0.0,1337.487,1337.487,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,25.858939393939398,0.1
201,0.34607815742492676,67,2,0.2,250,250,1000,1,1,9,7006.239,1443.037,-5563.202,298.0,1741.037,1443.037,0.0,528.985,528.985,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,26.667000000000005,0.1
202,0.4741075038909912,68,0,0.2,250,250,1000,1,1,12,7006.239,1891.636,-5114.603,301.2,2192.836,1891.636,0.0,698.673,698.673,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,27.07103030303031,0.1
197,0.7631721496582031,66,1,0.2,250,250,1000,1,1,21,7006.239,2775.724,-4230.515,299.6,3075.324,2775.724,0.0,1337.487,1337.487,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,26.2629696969697,0.1
204,0.3810851573944092,68,2,0.2,250,250,1000,1,1,9,7006.239,1443.037,-5563.202,298.0,1741.037,1443.037,0.0,528.985,528.985,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,27.07103030303031,0.1
