,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
2,0.47510766983032227,1,1,0.8,250,250,1000,1,1,12,7006.239,8342.4,1336.161,1198.4,9540.8,8342.4,222.56,0.0,222.56,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,0.001,0.1
3,0.5221188068389893,1,2,0.8,250,250,1000,1,1,14,7006.239,6819.2,-187.039,1192.0,8011.2,6819.2,241.28,0.0,241.28,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,0.001,0.1
1,0.602135419845581,1,0,0.8,250,250,1000,1,1,15,7006.239,7955.2,948.961,1204.8,9160.0,7955.2,306.4,0.0,306.4,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,0.001,0.1
7,0.4941110610961914,1,6,0.8,250,250,1000,1,1,13,7006.239,7672.0,665.761,1160.0,8832.0,7672.0,264.64,0.0,264.64,0.7772616875182228%,53.6%,53.6%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,0.001,0.1
4,0.527118444442749,1,3,0.8,250,250,1000,1,1,13,7006.239,7801.6,795.361,1228.8,9030.4,7801.6,262.24,0.0,262.24,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8252616875182227%,48.8%,48.8%,100.0%,0.0%,zeros,local-global,0.001,0.1
5,0.609137773513794,1,4,0.8,250,250,1000,1,1,18,7006.239,9140.8,2134.561,1267.2,10408.0,9140.8,361.28,0.0,361.28,0.7412616875182227%,57.2%,57.2%,100.0%,0.0%,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,zeros,local-global,0.001,0.1
6,0.6941559314727783,1,5,0.8,250,250,1000,1,1,18,7006.239,11363.2,4356.961,1160.0,12523.2,11363.2,366.08,0.0,366.08,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,0.001,0.1
9,0.66214919090271,1,8,0.8,250,250,1000,1,1,17,7006.239,10939.2,3932.961,1156.8,12096.0,10939.2,339.2,0.0,339.2,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,0.7692616875182228%,54.4%,54.4%,100.0%,0.0%,zeros,local-global,0.001,0.1
8,0.7031593322753906,1,7,0.8,250,250,1000,1,1,17,7006.239,9284.8,2278.561,1254.4,10539.2,9284.8,325.6,0.0,325.6,0.8012616875182228%,51.2%,51.2%,100.0%,0.0%,0.7812616875182228%,53.2%,53.2%,100.0%,0.0%,zeros,local-global,0.001,0.1
12,0.4611051082611084,2,1,0.8,250,250,1000,1,1,12,7006.239,8342.4,1336.161,1198.4,9540.8,8342.4,222.56,0.0,222.56,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
10,0.5491244792938232,1,9,0.8,250,250,1000,1,1,15,7006.239,7992.0,985.761,1180.8,9172.8,7992.0,298.72,0.0,298.72,0.8532616875182227%,46.0%,46.0%,100.0%,0.0%,0.8932616875182228%,42.0%,42.0%,100.0%,0.0%,zeros,local-global,0.001,0.1
11,0.554124116897583,2,0,0.8,250,250,1000,1,1,15,7006.239,7955.2,948.961,1204.8,9160.0,7955.2,306.4,0.0,306.4,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
14,0.48647522926330566,2,3,0.8,250,250,1000,1,1,13,7006.239,7801.6,795.361,1228.8,9030.4,7801.6,262.24,0.0,262.24,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8252616875182227%,48.8%,48.8%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
13,0.5341198444366455,2,2,0.8,250,250,1000,1,1,14,7006.239,6819.2,-187.039,1192.0,8011.2,6819.2,241.28,0.0,241.28,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
17,0.5281193256378174,2,6,0.8,250,250,1000,1,1,13,7006.239,7672.0,665.761,1160.0,8832.0,7672.0,264.64,0.0,264.64,0.7772616875182228%,53.6%,53.6%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
15,0.6831533908843994,2,4,0.8,250,250,1000,1,1,18,7006.239,9140.8,2134.561,1267.2,10408.0,9140.8,361.28,0.0,361.28,0.7412616875182227%,57.2%,57.2%,100.0%,0.0%,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
18,0.6391439437866211,2,7,0.8,250,250,1000,1,1,17,7006.239,9284.8,2278.561,1254.4,10539.2,9284.8,325.6,0.0,325.6,0.8012616875182228%,51.2%,51.2%,100.0%,0.0%,0.7812616875182228%,53.2%,53.2%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
16,0.6971566677093506,2,5,0.8,250,250,1000,1,1,18,7006.239,11363.2,4356.961,1160.0,12523.2,11363.2,366.08,0.0,366.08,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
21,0.3960881233215332,3,0,0.8,250,250,1000,1,1,9,7006.239,6537.667,-468.572,1374.4,7912.067,6537.667,264.48,99.88,364.36,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
23,0.4781074523925781,3,2,0.8,250,250,1000,1,1,12,7006.239,7095.917,89.678,1398.4,8494.317,7095.917,343.989,80.0,423.989,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
20,0.5761289596557617,2,9,0.8,250,250,1000,1,1,15,7006.239,7992.0,985.761,1180.8,9172.8,7992.0,298.72,0.0,298.72,0.8532616875182227%,46.0%,46.0%,100.0%,0.0%,0.8932616875182228%,42.0%,42.0%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
19,0.6471457481384277,2,8,0.8,250,250,1000,1,1,17,7006.239,10939.2,3932.961,1156.8,12096.0,10939.2,339.2,0.0,339.2,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,0.7692616875182228%,54.4%,54.4%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
24,0.5081143379211426,3,3,0.8,250,250,1000,1,1,12,7006.239,8355.296,1349.057,1228.8,9584.096,8355.296,348.484,60.0,408.484,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8252616875182227%,48.8%,48.8%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
22,0.8281865119934082,3,1,0.8,250,250,1000,1,1,21,7006.239,14176.067,7169.828,1163.2,15339.267,14176.067,548.806,220.0,768.806,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
25,0.6701507568359375,3,4,0.8,250,250,1000,1,1,16,7006.239,10492.941,3486.702,1267.2,11760.141,10492.941,443.04,120.0,563.04,0.7412616875182227%,57.2%,57.2%,100.0%,0.0%,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
31,0.4180934429168701,4,0,0.8,250,250,1000,1,1,9,7006.239,6537.667,-468.572,1374.4,7912.067,6537.667,264.48,99.88,364.36,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
27,0.6041359901428223,3,6,0.8,250,250,1000,1,1,14,7006.239,8003.242,997.003,1329.6,9332.842,8003.242,398.88,40.0,438.88,0.7772616875182228%,53.6%,53.6%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
28,0.6021356582641602,3,7,0.8,250,250,1000,1,1,14,7006.239,9393.76,2387.521,1275.2,10668.96,9393.76,380.0,139.88,519.88,0.8012616875182228%,51.2%,51.2%,100.0%,0.0%,0.7812616875182228%,53.2%,53.2%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
30,0.5231184959411621,3,9,0.8,250,250,1000,1,1,12,7006.239,8492.851,1486.612,1334.4,9827.251,8492.851,336.16,199.88,536.04,0.8532616875182227%,46.0%,46.0%,100.0%,0.0%,0.8932616875182228%,42.0%,42.0%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
26,0.7861766815185547,3,5,0.8,250,250,1000,1,1,20,7006.239,15042.006,8035.767,1342.4,16384.406,15042.006,562.244,260.0,822.244,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
29,0.8011813163757324,3,8,0.8,250,250,1000,1,1,20,7006.239,14988.934,7982.695,1156.8,16145.734,14988.934,575.842,279.88,855.722,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,0.7692616875182228%,54.4%,54.4%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
33,0.48610949516296387,4,2,0.8,250,250,1000,1,1,12,7006.239,7095.917,89.678,1398.4,8494.317,7095.917,343.989,80.0,423.989,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
34,0.4701058864593506,4,3,0.8,250,250,1000,1,1,12,7006.239,8355.296,1349.057,1228.8,9584.096,8355.296,348.484,60.0,408.484,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8252616875182227%,48.8%,48.8%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
32,0.7681729793548584,4,1,0.8,250,250,1000,1,1,21,7006.239,14176.067,7169.828,1163.2,15339.267,14176.067,548.806,220.0,768.806,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
38,0.4901115894317627,4,7,0.8,250,250,1000,1,1,14,7006.239,9393.76,2387.521,1275.2,10668.96,9393.76,380.0,139.88,519.88,0.8012616875182228%,51.2%,51.2%,100.0%,0.0%,0.7812616875182228%,53.2%,53.2%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
37,0.5491237640380859,4,6,0.8,250,250,1000,1,1,14,7006.239,8003.242,997.003,1329.6,9332.842,8003.242,398.88,40.0,438.88,0.7772616875182228%,53.6%,53.6%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
35,0.5981357097625732,4,4,0.8,250,250,1000,1,1,16,7006.239,10492.941,3486.702,1267.2,11760.141,10492.941,443.04,120.0,563.04,0.7412616875182227%,57.2%,57.2%,100.0%,0.0%,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
41,0.36908411979675293,5,0,0.8,250,250,1000,1,1,9,7006.239,7532.323,526.084,1374.4,8906.723,7532.323,314.72,139.36,454.08,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,1.6171212121212122,0.1
36,0.7171623706817627,4,5,0.8,250,250,1000,1,1,20,7006.239,15042.006,8035.767,1342.4,16384.406,15042.006,562.244,260.0,822.244,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
40,0.4541029930114746,4,9,0.8,250,250,1000,1,1,12,7006.239,8492.851,1486.612,1334.4,9827.251,8492.851,336.16,199.88,536.04,0.8532616875182227%,46.0%,46.0%,100.0%,0.0%,0.8932616875182228%,42.0%,42.0%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
39,0.7151610851287842,4,8,0.8,250,250,1000,1,1,20,7006.239,14988.934,7982.695,1156.8,16145.734,14988.934,575.842,279.88,855.722,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,0.7692616875182228%,54.4%,54.4%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
43,0.4340972900390625,5,2,0.8,250,250,1000,1,1,11,7006.239,7975.277,969.038,1300.8,9276.077,7975.277,354.56,198.44,553.0,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,1.6171212121212122,0.1
46,0.5481233596801758,5,5,0.8,250,250,1000,1,1,15,7006.239,12187.84,5181.601,1318.4,13506.24,12187.84,527.436,157.12,684.556,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,1.6171212121212122,0.1
