,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
880,1.841414451599121,88,9,0.8,400,400,3000,1,1,25,14179.631,32251.449,18071.818,2428.8,34680.249,32251.449,702.962,7192.618,7895.58,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,zeros,local-global,35.151636363636364,0.1
881,1.8484158515930176,89,0,0.8,400,400,3000,1,1,25,14179.631,27976.759,13797.128,2435.2,30411.959,27976.759,662.256,6535.874,7198.13,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,0.7857616875182228%,52.75%,52.75%,100.0%,0.0%,zeros,local-global,35.55566666666667,0.1
882,1.7573957443237305,89,1,0.8,400,400,3000,1,1,24,14179.631,31374.163,17194.532,2436.8,33810.963,31374.163,684.694,7279.971,7964.665,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,zeros,local-global,35.55566666666667,0.1
885,1.6043615341186523,89,4,0.8,400,400,3000,1,1,21,14179.631,26460.343,12280.712,2404.8,28865.143,26460.343,769.524,4434.635,5204.159,0.7782616875182228%,53.5%,53.5%,100.0%,0.0%,0.8182616875182228%,49.5%,49.5%,100.0%,0.0%,zeros,local-global,35.55566666666667,0.1
884,1.9714434146881104,89,3,0.8,400,400,3000,1,1,27,14179.631,39657.544,25477.913,2352.0,42009.544,39657.544,1282.985,7570.561,8853.546,0.7807616875182228%,53.25%,53.25%,100.0%,0.0%,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,zeros,local-global,35.55566666666667,0.1
886,1.5823557376861572,89,5,0.8,400,400,3000,1,1,21,14179.631,33587.568,19407.937,2259.2,35846.768,33587.568,1272.774,4418.617,5691.391,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7957616875182228%,51.75%,51.75%,100.0%,0.0%,zeros,local-global,35.55566666666667,0.1
889,1.3943135738372803,89,8,0.8,400,400,3000,1,1,18,14179.631,25692.547,11512.916,2316.8,28009.347,25692.547,588.462,6196.755,6785.217,0.8107616875182228%,50.25%,50.25%,100.0%,0.0%,0.8082616875182228%,50.5%,50.5%,100.0%,0.0%,zeros,local-global,35.55566666666667,0.1
887,1.950441837310791,89,6,0.8,400,400,3000,1,1,26,14179.631,32119.462,17939.831,2352.0,34471.462,32119.462,723.05,6976.853,7699.903,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,0.8032616875182228%,51.0%,51.0%,100.0%,0.0%,zeros,local-global,35.55566666666667,0.1
891,1.352304458618164,90,0,0.8,400,400,3000,1,1,17,14179.631,24417.59,10237.959,2435.2,26852.79,24417.59,686.684,4216.231,4902.915,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,0.7857616875182228%,52.75%,52.75%,100.0%,0.0%,zeros,local-global,35.95969696969697,0.1
888,1.9434378147125244,89,7,0.8,400,400,3000,1,1,26,14179.631,34570.828,20391.197,2331.2,36902.028,34570.828,1156.316,5021.583,6177.899,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,zeros,local-global,35.55566666666667,0.1
892,1.6823782920837402,90,1,0.8,400,400,3000,1,1,23,14179.631,31204.02,17024.389,2436.8,33640.82,31204.02,687.052,7035.489,7722.541,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,zeros,local-global,35.95969696969697,0.1
893,1.3282995223999023,90,2,0.8,400,400,3000,1,1,17,14179.631,25952.614,11772.983,2393.6,28346.214,25952.614,739.218,4465.695,5204.913,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,zeros,local-global,35.95969696969697,0.1
890,1.865419864654541,89,9,0.8,400,400,3000,1,1,25,14179.631,32251.449,18071.818,2428.8,34680.249,32251.449,702.962,7192.618,7895.58,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,zeros,local-global,35.55566666666667,0.1
894,1.2922911643981934,90,3,0.8,400,400,3000,1,1,16,14179.631,31268.085,17088.454,2352.0,33620.085,31268.085,1264.92,3947.647,5212.567,0.7807616875182228%,53.25%,53.25%,100.0%,0.0%,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,zeros,local-global,35.95969696969697,0.1
895,1.362306833267212,90,4,0.8,400,400,3000,1,1,18,14179.631,24229.273,10049.642,2404.8,26634.073,24229.273,771.49,3824.723,4596.213,0.7782616875182228%,53.5%,53.5%,100.0%,0.0%,0.8182616875182228%,49.5%,49.5%,100.0%,0.0%,zeros,local-global,35.95969696969697,0.1
898,1.2562828063964844,90,7,0.8,400,400,3000,1,1,16,14179.631,29597.463,15417.832,2331.2,31928.663,29597.463,1119.73,3209.203,4328.933,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,zeros,local-global,35.95969696969697,0.1
897,1.4283215999603271,90,6,0.8,400,400,3000,1,1,18,14179.631,26258.0,12078.369,2352.0,28610.0,26258.0,722.169,4771.12,5493.289,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,0.8032616875182228%,51.0%,51.0%,100.0%,0.0%,zeros,local-global,35.95969696969697,0.1
896,1.5913586616516113,90,5,0.8,400,400,3000,1,1,21,14179.631,33587.568,19407.937,2259.2,35846.768,33587.568,1272.774,4418.617,5691.391,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7957616875182228%,51.75%,51.75%,100.0%,0.0%,zeros,local-global,35.95969696969697,0.1
